dataset,backbone,num_classes,checkpoint_key,risk_config,train_objective,repair_root,train_example,deploy_example,notes
gtsrb,resnet50,43,gtsrb_resnet50_backbone,configs/risk/gtsrb_safety.yaml,s3b_residualln_bugval_smooth_cleanreplay_patchl2_safetyrisk_small_bs32,outputs/repairbench_v9b/gtsrb/resnet50,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
gtsrb,convnext_tiny,43,gtsrb_convnext_tiny_backbone,configs/risk/gtsrb_safety.yaml,s3b_residualln_bugval_smooth_cleanreplay_patchl2_safetyrisk_small_bs16,outputs/repairbench_v9b/gtsrb/convnext_tiny,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
gtsrb,vgg16,43,gtsrb_vgg16_backbone,configs/risk/gtsrb_safety.yaml,s2_residualln_bugval_smooth_cleanreplay_patchl2_certmedium,outputs/repairbench_v7/gtsrb/vgg16,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
gtsrb,densenet121,43,gtsrb_densenet121_backbone,configs/risk/gtsrb_safety.yaml,s1_residualln_bugval_smooth_cleanreplay_patchl2_certsmall,outputs/repairbench_v7/gtsrb/densenet121,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
tt100k_signs,resnet50,181,tt100k_signs_resnet50_backbone,configs/risk/tt100k_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7/tt100k_signs/resnet50,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
tt100k_signs,convnext_tiny,181,tt100k_signs_convnext_tiny_backbone,configs/risk/tt100k_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7/tt100k_signs/convnext_tiny,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
tt100k_signs,vgg16,181,tt100k_signs_vgg16_backbone,configs/risk/tt100k_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7/tt100k_signs/vgg16,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
tt100k_signs,densenet121,181,tt100k_signs_densenet121_backbone,configs/risk/tt100k_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7/tt100k_signs/densenet121,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
lisa_signs,resnet50,56,lisa_signs_resnet50_backbone,configs/risk/lisa_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7a/lisa_signs/resnet50,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
lisa_signs,convnext_tiny,56,lisa_signs_convnext_tiny_backbone,configs/risk/lisa_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7a/lisa_signs/convnext_tiny,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
lisa_signs,vgg16,56,lisa_signs_vgg16_backbone,configs/risk/lisa_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7a/lisa_signs/vgg16,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
lisa_signs,densenet121,56,lisa_signs_densenet121_backbone,configs/risk/lisa_signs_safety.yaml,b0_residualln_bugval_smooth_cleanreplay_patchl2,outputs/repairbench_v7a/lisa_signs/densenet121,configs/experiment/paper_train_resolved_example.yaml,configs/experiment/paper_deploy_resolved_example.yaml,primary paper setting
