gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
DPGate,gtsrb,densenet121,0.0,0.003376,0.001014,0.005148,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0,0.0,0.0
DPGate,gtsrb,densenet121,0.01,0.003209,0.001014,0.004947,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0495,0.0,0.039
DPGate,gtsrb,densenet121,0.02,0.003109,0.000845,0.004646,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0792,0.1666,0.0974
DPGate,gtsrb,densenet121,0.03,0.003008,0.000845,0.004513,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1089,0.1666,0.1234
DPGate,gtsrb,densenet121,0.04,0.002908,0.000845,0.004412,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1386,0.1666,0.1429
DPGate,gtsrb,densenet121,0.05,0.002808,0.000676,0.004078,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1683,0.3337,0.2078
DPGate,gtsrb,densenet121,0.06,0.002674,0.000676,0.003944,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2079,0.3337,0.2338
DPGate,gtsrb,densenet121,0.07,0.002574,0.000507,0.003677,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2376,0.4998,0.2857
DPGate,gtsrb,densenet121,0.08,0.00244,0.000507,0.003543,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2772,0.4998,0.3117
DPGate,gtsrb,densenet121,0.09,0.002373,0.000507,0.003443,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.297,0.4998,0.3312
DPGate,gtsrb,densenet121,0.1,0.002273,0.000507,0.003242,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3267,0.4998,0.3701
DPGate,gtsrb,densenet121,0.11,0.002173,0.000338,0.002975,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3564,0.6668,0.4221
DPGate,gtsrb,densenet121,0.12,0.002039,0.000338,0.002741,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.396,0.6668,0.4675
