setting,seed,lambda,RR_held,Reg,CReg,method
gtsrb/convnext_tiny,101,0.5,0.8202764976958525,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,1.0,0.815668202764977,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,2.0,0.8110599078341014,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,4.0,0.8110599078341014,0.0,0.0,DynaPatch
gtsrb/densenet121,101,0.5,0.8313253012048193,0.0007019655034095467,0.0,DynaPatch
gtsrb/densenet121,101,1.0,0.8072289156626506,0.00030084235860409147,0.0,DynaPatch
gtsrb/densenet121,101,2.0,0.7831325301204819,0.00010028078620136381,0.0,DynaPatch
gtsrb/densenet121,101,4.0,0.7831325301204819,0.00010028078620136381,0.0,DynaPatch
gtsrb/resnet50,101,0.5,0.6666666666666666,0.0007978458162960008,0.0,DynaPatch
gtsrb/resnet50,101,1.0,0.6666666666666666,0.0001994614540740002,0.0,DynaPatch
gtsrb/resnet50,101,2.0,0.6666666666666666,0.0001994614540740002,0.0,DynaPatch
gtsrb/resnet50,101,4.0,0.6666666666666666,0.0001994614540740002,0.0,DynaPatch
gtsrb/vgg16,101,0.5,0.6105263157894737,0.0008162432404856647,0.0005149330587023687,DynaPatch
gtsrb/vgg16,101,1.0,0.6105263157894737,0.0005101520253035404,0.0005149330587023687,DynaPatch
gtsrb/vgg16,101,2.0,0.6105263157894737,0.00040812162024283236,0.0005149330587023687,DynaPatch
gtsrb/vgg16,101,4.0,0.6052631578947368,0.00030609121518212427,0.0005149330587023687,DynaPatch
lisa_signs/convnext_tiny,101,0.5,0.35714285714285715,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,1.0,0.35714285714285715,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,2.0,0.21428571428571427,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,4.0,0.07142857142857142,0.000526592943654555,0.0,DynaPatch
lisa_signs/densenet121,101,0.5,0.4117647058823529,0.004751847940865892,0.008021390374331552,DynaPatch
lisa_signs/densenet121,101,1.0,0.4117647058823529,0.004223864836325237,0.0066844919786096255,DynaPatch
lisa_signs/densenet121,101,2.0,0.4117647058823529,0.0026399155227032735,0.004010695187165776,DynaPatch
lisa_signs/densenet121,101,4.0,0.4117647058823529,0.0021119324181626186,0.00267379679144385,DynaPatch
lisa_signs/resnet50,101,0.5,0.5882352941176471,0.004287245444801715,0.004267425320056899,DynaPatch
lisa_signs/resnet50,101,1.0,0.5588235294117647,0.0037513397642015005,0.004267425320056899,DynaPatch
lisa_signs/resnet50,101,2.0,0.5588235294117647,0.003215434083601286,0.004267425320056899,DynaPatch
