setting,seed,n_train_pos,n_train_neg,theta,Reg,CReg,RR_held,realised_r,n_held,n_clean,n_crit,n,prevalence,accuracy,precision,recall,f1,TP,FP,FN,TN
gtsrb/densenet121,101,76,10,0.0,0.000300842358604,0.0,0.8072289156626506,0.9285714285714284,83,9972,1972,115,0.6,0.9304347826086956,0.9178082191780822,0.9710144927536232,0.943661971830986,67,6,2,40
gtsrb/resnet50,101,45,23,0.0,0.000199461454074,0.0,0.6666666666666666,0.9761904761904762,48,10027,1967,125,0.264,0.936,0.8205128205128205,0.9696969696969696,0.8888888888888888,32,7,1,85
lisa_signs/densenet121,101,13,2,0.0,0.0042238648363252,0.0066844919786096,0.4117647058823529,0.2,17,1894,748,21,0.3333333333333333,0.4285714285714285,0.3684210526315789,1.0,0.5384615384615384,7,12,0,2
lisa_signs/resnet50,101,29,2,0.0,0.0037513397642015,0.0042674253200568,0.5588235294117647,0.4615384615384615,34,1866,703,39,0.5384615384615384,0.717948717948718,0.6785714285714286,0.9047619047619048,0.7755102040816326,19,9,2,9
tt100k_signs/densenet121,101,231,18,0.0,0.0015373864430468,0.0009787129924149,0.5256410256410257,0.8791208791208792,312,7155,4087,280,0.5857142857142857,0.8714285714285714,0.82,1.0,0.9010989010989012,164,36,0,80
tt100k_signs/resnet50,101,180,30,0.0,0.00027616680475,0.0,0.4186046511627907,0.9803921568627452,258,7242,4107,260,0.4192307692307692,0.8076923076923077,0.6878980891719745,0.9908256880733946,0.8120300751879699,108,49,1,102
gtsrb/densenet121,202,80,7,0.0,0.0,0.0,0.7710843373493976,1.0,83,9972,1967,89,0.7191011235955056,0.9438202247191012,0.927536231884058,1.0,0.962406015037594,64,5,0,20
gtsrb/resnet50,202,44,19,0.0,0.000398922908148,0.0,0.7083333333333334,0.9130434782608696,48,10027,1976,86,0.4186046511627907,0.9186046511627908,0.8717948717948718,0.9444444444444444,0.9066666666666668,34,5,2,45
lisa_signs/densenet121,202,14,2,0.0,0.0010559662090813,0.0027624309392265,0.4117647058823529,0.5,17,1894,724,16,0.5,0.6875,0.6363636363636364,0.875,0.7368421052631579,7,4,1,4
lisa_signs/resnet50,202,28,3,0.0,0.0005359056806002,0.0014044943820224,0.5294117647058824,0.9000000000000001,34,1866,712,36,0.5833333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,3,3,12
tt100k_signs/densenet121,202,242,34,0.0,0.0005590496156533,0.0004941932295527,0.532051282051282,0.9506172839506172,312,7155,4047,278,0.5971223021582733,0.8741007194244604,0.8258706467661692,1.0,0.904632152588556,166,35,0,77
tt100k_signs/resnet50,202,180,33,0.0,0.00027616680475,0.0,0.3720930232558139,0.9767441860465116,258,7242,4073,229,0.4366812227074236,0.8078602620087336,0.7058823529411765,0.96,0.8135593220338982,96,40,4,89
gtsrb/densenet121,303,81,18,0.0,0.0001002807862013,0.0,0.8433734939759037,0.9761904761904762,83,9972,1978,118,0.6016949152542372,0.9661016949152542,0.958904109589041,0.9859154929577464,0.9722222222222222,70,3,1,44
gtsrb/resnet50,303,46,18,0.0,0.000598384362222,0.0,0.625,0.917808219178082,48,10027,1928,110,0.2909090909090909,0.9181818181818182,0.8108108108108109,0.9375,0.8695652173913043,30,7,2,71
lisa_signs/densenet121,303,14,2,0.0,0.0,0.0,0.2352941176470588,1.0,17,1894,735,24,0.25,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,16
lisa_signs/resnet50,303,30,2,0.0,0.002679528403001,0.0042194092827004,0.3823529411764705,0.4444444444444445,34,1866,711,27,0.4814814814814814,0.6296296296296297,0.5652173913043478,1.0,0.7222222222222222,13,10,0,4
tt100k_signs/densenet121,303,230,25,0.0,0.0011180992313067,0.0014666340747983,0.5064102564102564,0.9245283018867924,312,7155,4091,294,0.5374149659863946,0.8809523809523809,0.8186528497409327,1.0,0.9002849002849003,158,35,0,101
tt100k_signs/resnet50,303,186,24,0.0,0.00027616680475,0.0002440214738897,0.3410852713178294,0.9714285714285716,258,7242,4098,209,0.430622009569378,0.7942583732057417,0.6821705426356589,0.9777777777777776,0.8036529680365296,88,41,2,78
gtsrb/convnext_tiny,101,208,5,0.0,0.0,0.0,0.815668202764977,1.0,217,9757,1961,190,0.9421052631578948,0.968421052631579,0.9779005524861878,0.988826815642458,0.9833333333333334,177,4,2,7
gtsrb/vgg16,101,149,12,0.0,0.0005101520253035,0.0005149330587023,0.6105263157894737,0.8571428571428572,190,9801,1942,163,0.7116564417177914,0.8957055214723927,0.8721804511278195,1.0,0.931726907630522,116,17,0,30
lisa_signs/convnext_tiny,101,9,2,0.0,0.0005265929436545,0.0,0.3571428571428571,0.5,14,1899,753,9,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,2
tt100k_signs/convnext_tiny,101,130,21,0.0,0.0005474952094169,0.0007279786459597,0.2293577981651376,0.9487179487179488,218,7306,4121,145,0.3793103448275862,0.8827586206896552,0.8064516129032258,0.9090909090909092,0.8547008547008547,50,12,5,78
tt100k_signs/vgg16,101,193,34,0.0,0.0004207573632538,0.0004854368932038,0.2804878048780488,0.9736842105263158,328,7130,4120,287,0.3275261324041811,0.7212543554006968,0.5411764705882353,0.9787234042553192,0.696969696969697,92,78,2,115
gtsrb/convnext_tiny,202,203,3,0.0,0.0004099620785077,0.000515995872033,0.8709677419354839,0.5,217,9757,1938,198,0.9545454545454546,0.9747474747474748,0.9742268041237112,1.0,0.9869451697127936,189,5,0,4
gtsrb/vgg16,202,148,12,0.0,0.0007142128354249,0.0,0.6052631578947368,0.8600000000000001,190,9801,1914,190,0.6105263157894737,0.8368421052631579,0.7931034482758621,0.9913793103448276,0.8812260536398467,115,30,1,44
lisa_signs/vgg16,202,25,2,0.0,0.0005364806866952,0.0013679890560875,0.3055555555555556,0.6666666666666666,36,1864,731,19,0.5789473684210527,0.6842105263157895,0.6470588235294118,1.0,0.7857142857142858,11,6,0,2
tt100k_signs/convnext_tiny,202,136,20,0.0,0.0009581166164796,0.0012127091923356,0.3440366972477064,0.8833333333333334,218,7306,4123,155,0.4903225806451612,0.8258064516129032,0.7425742574257426,0.986842105263158,0.8474576271186441,75,26,1,53
tt100k_signs/vgg16,202,172,32,0.0,0.0015427769985974,0.0014796547472256,0.3262195121951219,0.9043478260869564,328,7130,4055,308,0.3506493506493506,0.6948051948051948,0.535,0.9907407407407408,0.6948051948051949,107,93,1,107
gtsrb/convnext_tiny,303,205,1,0.0,0.0013323767551501,0.0,0.8341013824884793,0.0,217,9757,1945,199,0.9095477386934674,0.9095477386934674,0.9095477386934674,1.0,0.9526315789473684,181,18,0,0
gtsrb/vgg16,303,152,6,0.0,0.0008162432404856,0.0005213764337851,0.5736842105263158,0.75,190,9801,1918,156,0.7051282051282052,0.8589743589743589,0.8384615384615385,0.990909090909091,0.9083333333333334,109,21,1,25
lisa_signs/convnext_tiny,303,9,1,0.0,0.0015797788309636,0.0027247956403269,0.3571428571428571,0.5,14,1899,734,13,0.5384615384615384,0.6153846153846154,0.625,0.7142857142857143,0.6666666666666666,5,3,2,3
tt100k_signs/convnext_tiny,303,139,19,0.0,0.0002737476047084,0.0004820438659918,0.3532110091743119,0.96875,218,7306,4149,164,0.4695121951219512,0.8719512195121951,0.7857142857142857,1.0,0.88,77,21,0,66
