method,setting,seed,theta,n_train_flip_seen,n_train_flip_calib,RR_held,Reg,CReg,note
NN-Patching,gtsrb/resnet50,101,0.0,38,2063,0.5833333333333334,0.000997307270370001,0.0,
NN-Patching,gtsrb/resnet50,202,0.0,38,1870,0.6458333333333334,0.0006981150892590007,0.0,
NN-Patching,gtsrb/resnet50,303,0.0,38,1780,0.3958333333333333,0.000997307270370001,0.0,
NN-Patching,gtsrb/convnext_tiny,101,0.0,174,1549,0.5714285714285714,0.0019473198729117556,0.0005099439061703213,
NN-Patching,gtsrb/convnext_tiny,202,0.0,174,1262,0.5253456221198156,0.002254791431792559,0.0005159958720330237,
NN-Patching,gtsrb/convnext_tiny,303,0.0,174,1360,0.576036866359447,0.0023572819514194937,0.0,
NN-Patching,gtsrb/densenet121,101,0.0,65,1815,0.6506024096385542,0.001604492579221821,0.0005070993914807302,
NN-Patching,gtsrb/densenet121,202,0.0,66,1987,0.5903614457831325,0.00030084235860409147,0.0005083884087442806,
NN-Patching,gtsrb/densenet121,303,0.0,66,1873,0.6385542168674698,0.0008022462896109105,0.0010111223458038423,
NN-Patching,gtsrb/vgg16,101,0.0,151,2339,0.4105263157894737,0.002244668911335578,0.0020597322348094747,
NN-Patching,gtsrb/vgg16,202,0.0,151,2407,0.4,0.0034690337720640753,0.0041797283176593526,
NN-Patching,gtsrb/vgg16,303,0.0,151,2380,0.45789473684210524,0.0027548209366391185,0.004171011470281543,
NN-Patching,tt100k_signs/resnet50,101,0.0,206,1374,0.32945736434108525,0.006213753106876553,0.004140282513395032,
NN-Patching,tt100k_signs/resnet50,202,0.0,206,1555,0.32170542635658916,0.0035901684617508974,0.0027007120058924624,
NN-Patching,tt100k_signs/resnet50,303,0.0,206,1560,0.32558139534883723,0.004694835680751174,0.002928972418843056,
NN-Patching,tt100k_signs/convnext_tiny,101,0.0,173,1631,0.2798165137614679,0.005474952094169176,0.005823829167677748,
NN-Patching,tt100k_signs/convnext_tiny,202,0.0,174,1520,0.4036697247706422,0.006569942513003011,0.00606354596167839,
NN-Patching,tt100k_signs/convnext_tiny,303,0.0,174,1549,0.3440366972477064,0.0046537092800438,0.0036153289949385392,
NN-Patching,tt100k_signs/densenet121,101,0.0,250,1523,0.46474358974358976,0.0069881201956673656,0.004404208465867384,
NN-Patching,tt100k_signs/densenet121,202,0.0,250,1520,0.4583333333333333,0.005590496156533892,0.003459352606869286,
NN-Patching,tt100k_signs/densenet121,303,0.0,250,1610,0.44871794871794873,0.0065688329839273234,0.004399902224395014,
NN-Patching,tt100k_signs/vgg16,101,0.0,262,1703,0.23780487804878048,0.007994389901823282,0.007281553398058253,
NN-Patching,tt100k_signs/vgg16,202,0.0,262,1657,0.27134146341463417,0.008415147265077139,0.0076448828606658446,
NN-Patching,tt100k_signs/vgg16,303,0.0,262,1697,0.27439024390243905,0.011640953716690041,0.011302211302211302,
NN-Patching,lisa_signs/resnet50,101,0.0,27,353,0.20588235294117646,0.0053590568060021436,0.008534850640113799,
NN-Patching,lisa_signs/resnet50,202,0.0,27,359,0.29411764705882354,0.006430868167202572,0.0028089887640449437,
NN-Patching,lisa_signs/resnet50,303,0.0,27,424,0.058823529411764705,0.00482315112540193,0.0014064697609001407,
NN-Patching,lisa_signs/convnext_tiny,101,0.0,10,455,0.21428571428571427,0.0026329647182727752,0.00398406374501992,
NN-Patching,lisa_signs/convnext_tiny,202,0.0,10,392,0.35714285714285715,0.0052659294365455505,0.009259259259259259,
NN-Patching,lisa_signs/convnext_tiny,303,0.0,10,370,0.42857142857142855,0.0052659294365455505,0.006811989100817439,
NN-Patching,lisa_signs/densenet121,101,0.0,13,357,0.29411764705882354,0.0015839493136219642,0.001336898395721925,
NN-Patching,lisa_signs/densenet121,202,0.0,13,293,0.23529411764705882,0.0015839493136219642,0.0027624309392265192,
NN-Patching,lisa_signs/densenet121,303,0.0,13,327,0.17647058823529413,0.0015839493136219642,0.0013605442176870747,
NN-Patching,lisa_signs/vgg16,101,0.0,28,462,0.027777777777777776,0.005901287553648069,0.004149377593360996,
NN-Patching,lisa_signs/vgg16,202,0.0,28,463,0.0,0.002145922746781116,0.0013679890560875513,
NN-Patching,lisa_signs/vgg16,303,0.0,28,461,0.0,0.0037553648068669528,0.0041265474552957355,
PatchNAS,gtsrb/resnet50,101,0.0,38,2241,0.5625,0.000997307270370001,0.0,
PatchNAS,gtsrb/resnet50,202,0.0,38,2216,0.6666666666666666,0.0011967687244440013,0.0,
PatchNAS,gtsrb/resnet50,303,0.0,38,2174,0.4166666666666667,0.0018948838137030019,0.0,
PatchNAS,gtsrb/convnext_tiny,101,0.0,174,1749,0.543778801843318,0.0030747155888080353,0.0005099439061703213,
PatchNAS,gtsrb/convnext_tiny,202,0.0,174,1698,0.4838709677419355,0.0023572819514194937,0.0005159958720330237,
PatchNAS,gtsrb/convnext_tiny,303,0.0,174,1772,0.5161290322580645,0.0032796966280619045,0.0,
PatchNAS,gtsrb/densenet121,101,0.0,65,2156,0.5301204819277109,0.001103088648215002,0.0005070993914807302,
PatchNAS,gtsrb/densenet121,202,0.0,66,2226,0.5542168674698795,0.0007019655034095467,0.0005083884087442806,
PatchNAS,gtsrb/densenet121,303,0.0,66,2222,0.5783132530120482,0.0009025270758122744,0.0005055611729019212,
PatchNAS,gtsrb/vgg16,101,0.0,151,2084,0.42105263157894735,0.0029588817467605345,0.004119464469618949,
PatchNAS,gtsrb/vgg16,202,0.0,151,2044,0.45263157894736844,0.0027548209366391185,0.0036572622779519333,
PatchNAS,gtsrb/vgg16,303,0.0,151,2010,0.5210526315789473,0.004183246607489032,0.0031282586027111575,
PatchNAS,tt100k_signs/resnet50,101,0.0,206,1675,0.24031007751937986,0.007042253521126761,0.004627374573794447,
PatchNAS,tt100k_signs/resnet50,202,0.0,206,1643,0.26356589147286824,0.0038663352665009665,0.0029462312791554137,
PatchNAS,tt100k_signs/resnet50,303,0.0,206,1690,0.20155038759689922,0.005247169290251312,0.003417134488650232,
PatchNAS,tt100k_signs/convnext_tiny,101,0.0,173,1731,0.22935779816513763,0.005201204489460717,0.005581169619024508,
PatchNAS,tt100k_signs/convnext_tiny,202,0.0,174,1703,0.3348623853211009,0.006296194908294552,0.005821004123211254,
PatchNAS,tt100k_signs/convnext_tiny,303,0.0,174,1594,0.25688073394495414,0.005064330687106488,0.004338394793926247,
PatchNAS,tt100k_signs/densenet121,101,0.0,250,1644,0.3525641025641026,0.006429070580013976,0.004404208465867384,
PatchNAS,tt100k_signs/densenet121,202,0.0,250,1594,0.38461538461538464,0.005590496156533892,0.004447739065974796,
PatchNAS,tt100k_signs/densenet121,303,0.0,250,1649,0.40384615384615385,0.0069881201956673656,0.0046443412368614035,
PatchNAS,tt100k_signs/vgg16,101,0.0,262,1397,0.15548780487804878,0.007713884992987377,0.00558252427184466,
PatchNAS,tt100k_signs/vgg16,202,0.0,262,1418,0.1951219512195122,0.010659186535764377,0.00813810110974106,
PatchNAS,tt100k_signs/vgg16,303,0.0,262,1412,0.2073170731707317,0.0120617110799439,0.010073710073710074,
PatchNAS,lisa_signs/resnet50,101,0.0,27,369,0.20588235294117646,0.006430868167202572,0.00995732574679943,
PatchNAS,lisa_signs/resnet50,202,0.0,27,412,0.20588235294117646,0.006966773847802787,0.004213483146067416,
PatchNAS,lisa_signs/resnet50,303,0.0,27,404,0.029411764705882353,0.00482315112540193,0.0028129395218002813,
PatchNAS,lisa_signs/convnext_tiny,101,0.0,10,437,0.2857142857142857,0.001579778830963665,0.0013280212483399733,
PatchNAS,lisa_signs/convnext_tiny,202,0.0,10,377,0.35714285714285715,0.004739336492890996,0.009259259259259259,
PatchNAS,lisa_signs/convnext_tiny,303,0.0,10,382,0.5,0.0052659294365455505,0.005449591280653951,
PatchNAS,lisa_signs/densenet121,101,0.0,13,439,0.17647058823529413,0.0021119324181626186,0.00267379679144385,
PatchNAS,lisa_signs/densenet121,202,0.0,13,387,0.29411764705882354,0.0021119324181626186,0.0013812154696132596,
PatchNAS,lisa_signs/densenet121,303,0.0,13,414,0.29411764705882354,0.0015839493136219642,0.0013605442176870747,
PatchNAS,lisa_signs/vgg16,101,0.0,28,358,0.2222222222222222,0.0075107296137339056,0.008298755186721992,
PatchNAS,lisa_signs/vgg16,202,0.0,28,385,0.2222222222222222,0.002145922746781116,0.0013679890560875513,
PatchNAS,lisa_signs/vgg16,303,0.0,28,432,0.16666666666666666,0.002145922746781116,0.0041265474552957355,
