method,setting,seed,theta,n_train_flip_seen,n_train_flip_calib,RR_held,Reg,CReg,note
NN-Patching,gtsrb/resnet50,101,0.0,38,2063,0.6458333333333334,9.97307270370001e-05,0.0,
NN-Patching,gtsrb/resnet50,202,0.0,38,1870,0.6666666666666666,0.0001994614540740002,0.0,
NN-Patching,gtsrb/resnet50,303,0.0,38,1780,0.5833333333333334,0.0004986536351850005,0.0,
NN-Patching,gtsrb/convnext_tiny,101,0.0,174,1549,0.9216589861751152,0.00030747155888080353,0.0005099439061703213,
NN-Patching,gtsrb/convnext_tiny,202,0.0,174,1262,0.9539170506912442,0.00030747155888080353,0.0005159958720330237,
NN-Patching,gtsrb/convnext_tiny,303,0.0,174,1360,0.9124423963133641,0.00020498103925386903,0.0,
NN-Patching,gtsrb/densenet121,101,0.0,65,1815,0.7590361445783133,0.00030084235860409147,0.0,
NN-Patching,gtsrb/densenet121,202,0.0,66,1987,0.7469879518072289,0.0,0.0,
NN-Patching,gtsrb/densenet121,303,0.0,66,1873,0.8072289156626506,0.00010028078620136381,0.0,
NN-Patching,gtsrb/vgg16,101,0.0,151,2339,0.49473684210526314,0.0006121824303642485,0.0005149330587023687,
NN-Patching,gtsrb/vgg16,202,0.0,151,2407,0.45789473684210524,0.0009182736455463728,0.0010449320794148381,
NN-Patching,gtsrb/vgg16,303,0.0,151,2380,0.6473684210526316,0.0007142128354249566,0.0010427528675703858,
NN-Patching,tt100k_signs/resnet50,101,0.0,206,1374,0.5077519379844961,0.0011046672190002762,0.00024354603019970775,
NN-Patching,tt100k_signs/resnet50,202,0.0,206,1555,0.5232558139534884,0.0011046672190002762,0.00024551927326295114,
NN-Patching,tt100k_signs/resnet50,303,0.0,206,1560,0.47674418604651164,0.00027616680475006904,0.000244081034903588,
NN-Patching,tt100k_signs/convnext_tiny,101,0.0,173,1631,0.463302752293578,0.0026006022447303584,0.002911914583838874,
NN-Patching,tt100k_signs/convnext_tiny,202,0.0,174,1520,0.5596330275229358,0.0023268546400219,0.0026679602231384912,
NN-Patching,tt100k_signs/convnext_tiny,303,0.0,174,1549,0.5412844036697247,0.0008212428141253764,0.0009640877319836105,
NN-Patching,tt100k_signs/densenet121,101,0.0,250,1523,0.6282051282051282,0.002236198462613557,0.0009787129924149743,
NN-Patching,tt100k_signs/densenet121,202,0.0,250,1520,0.6378205128205128,0.0009783368273934311,0.0007412898443291327,
NN-Patching,tt100k_signs/densenet121,303,0.0,250,1610,0.592948717948718,0.001816911250873515,0.0017110730872647274,
NN-Patching,tt100k_signs/vgg16,101,0.0,262,1703,0.2865853658536585,0.0036465638148667602,0.002184466019417476,
NN-Patching,tt100k_signs/vgg16,202,0.0,262,1657,0.3170731707317073,0.0012622720897615708,0.0009864364981504315,
NN-Patching,tt100k_signs/vgg16,303,0.0,262,1697,0.3475609756097561,0.004628330995792427,0.0034398034398034397,
NN-Patching,lisa_signs/resnet50,101,0.0,27,353,0.5,0.001607717041800643,0.001422475106685633,
NN-Patching,lisa_signs/resnet50,202,0.0,27,359,0.5588235294117647,0.0010718113612004287,0.0014044943820224719,
NN-Patching,lisa_signs/resnet50,303,0.0,27,424,0.20588235294117646,0.003215434083601286,0.0014064697609001407,
NN-Patching,lisa_signs/convnext_tiny,101,0.0,10,455,0.2857142857142857,0.000526592943654555,0.0,
NN-Patching,lisa_signs/convnext_tiny,202,0.0,10,392,0.5,0.003686150605581885,0.007936507936507936,
NN-Patching,lisa_signs/convnext_tiny,303,0.0,10,370,0.35714285714285715,0.001579778830963665,0.0027247956403269754,
NN-Patching,lisa_signs/densenet121,101,0.0,13,357,0.35294117647058826,0.0015839493136219642,0.004010695187165776,
NN-Patching,lisa_signs/densenet121,202,0.0,13,293,0.29411764705882354,0.0005279831045406547,0.0013812154696132596,
NN-Patching,lisa_signs/densenet121,303,0.0,13,327,0.11764705882352941,0.0015839493136219642,0.0013605442176870747,
NN-Patching,lisa_signs/vgg16,101,0.0,28,462,0.05555555555555555,0.004291845493562232,0.004149377593360996,
NN-Patching,lisa_signs/vgg16,202,0.0,28,463,0.027777777777777776,0.0,0.0,
NN-Patching,lisa_signs/vgg16,303,0.0,28,461,0.05555555555555555,0.003218884120171674,0.0041265474552957355,
PatchNAS,gtsrb/resnet50,101,0.0,38,2241,0.625,9.97307270370001e-05,0.0,
PatchNAS,gtsrb/resnet50,202,0.0,38,2216,0.7291666666666666,9.97307270370001e-05,0.0,
PatchNAS,gtsrb/resnet50,303,0.0,38,2174,0.5625,0.0001994614540740002,0.0,
PatchNAS,gtsrb/convnext_tiny,101,0.0,174,1749,0.8847926267281107,0.00030747155888080353,0.0005099439061703213,
PatchNAS,gtsrb/convnext_tiny,202,0.0,174,1698,0.9354838709677419,0.00020498103925386903,0.0005159958720330237,
PatchNAS,gtsrb/convnext_tiny,303,0.0,174,1772,0.8940092165898618,0.0005124525981346726,0.0,
PatchNAS,gtsrb/densenet121,101,0.0,65,2156,0.7228915662650602,0.00010028078620136381,0.0,
