gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
L1 magnitude,gtsrb,convnext_tiny,0.0,0.003621,0.000172,0.007072,0.930876,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.01,0.003621,0.000172,0.007072,0.917051,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.02,0.003621,0.000172,0.007072,0.907834,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.03,0.003621,0.000172,0.007072,0.894009,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.04,0.003621,0.000172,0.007072,0.884793,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.05,0.003621,0.000172,0.007072,0.875576,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.06,0.003621,0.000172,0.007072,0.866359,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.07,0.003621,0.000172,0.007072,0.854071,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.08,0.003621,0.000172,0.007072,0.843318,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0,0.0,0.0
L1 magnitude,gtsrb,convnext_tiny,0.09,0.003587,0.000172,0.007004,0.834101,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0094,0.0,0.0097
L1 magnitude,gtsrb,convnext_tiny,0.1,0.003587,0.000172,0.007004,0.824885,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0094,0.0,0.0097
L1 magnitude,gtsrb,convnext_tiny,0.11,0.003553,0.000172,0.006935,0.815668,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0189,0.0,0.0193
L1 magnitude,gtsrb,convnext_tiny,0.12,0.003485,0.000172,0.006799,0.806452,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0377,0.0,0.0386
L1 magnitude,gtsrb,convnext_tiny,0.13,0.003485,0.000172,0.006799,0.795699,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0377,0.0,0.0386
L1 magnitude,gtsrb,convnext_tiny,0.14,0.003485,0.000172,0.006799,0.78341,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0377,0.0,0.0386
L1 magnitude,gtsrb,convnext_tiny,0.15,0.003416,0.000172,0.006594,0.777266,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0566,0.0,0.0676
L1 magnitude,gtsrb,convnext_tiny,0.16,0.003382,0.000172,0.006457,0.766513,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.066,0.0,0.087
L1 magnitude,gtsrb,convnext_tiny,0.17,0.003382,0.000172,0.006457,0.757296,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.066,0.0,0.087
L1 magnitude,gtsrb,convnext_tiny,0.18,0.003348,0.000172,0.006286,0.746544,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0755,0.0,0.1111
L1 magnitude,gtsrb,convnext_tiny,0.19,0.003314,0.000172,0.006218,0.737327,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0849,0.0,0.1208
L1 magnitude,gtsrb,convnext_tiny,0.2,0.003314,0.000172,0.006218,0.726575,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.0849,0.0,0.1208
L1 magnitude,gtsrb,convnext_tiny,0.21,0.003246,0.000172,0.006013,0.717358,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1038,0.0,0.1498
L1 magnitude,gtsrb,convnext_tiny,0.22,0.003246,0.000172,0.006013,0.708141,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1038,0.0,0.1498
L1 magnitude,gtsrb,convnext_tiny,0.23,0.003211,0.000172,0.005944,0.698925,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1132,0.0,0.1594
L1 magnitude,gtsrb,convnext_tiny,0.24,0.003211,0.000172,0.005944,0.688172,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1132,0.0,0.1594
L1 magnitude,gtsrb,convnext_tiny,0.25,0.003211,0.000172,0.005944,0.677419,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1132,0.0,0.1594
L1 magnitude,gtsrb,convnext_tiny,0.26,0.003177,0.000172,0.005876,0.666667,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1226,0.0,0.1691
L1 magnitude,gtsrb,convnext_tiny,0.27,0.003109,0.000172,0.005705,0.660522,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1415,0.0,0.1932
L1 magnitude,gtsrb,convnext_tiny,0.28,0.003109,0.000172,0.005705,0.64977,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1415,0.0,0.1932
L1 magnitude,gtsrb,convnext_tiny,0.29,0.003109,0.000172,0.005705,0.639017,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1415,0.0,0.1932
L1 magnitude,gtsrb,convnext_tiny,0.3,0.003075,0.000172,0.005637,0.631336,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1509,0.0,0.2029
L1 magnitude,gtsrb,convnext_tiny,0.325,0.002972,0.000172,0.00533,0.611367,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.1792,0.0,0.2464
L1 magnitude,gtsrb,convnext_tiny,0.35,0.00287,0.000172,0.005125,0.58679,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.2075,0.0,0.2754
L1 magnitude,gtsrb,convnext_tiny,0.375,0.002801,0.000172,0.004988,0.562212,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.2264,0.0,0.2947
L1 magnitude,gtsrb,convnext_tiny,0.4,0.002699,0.000172,0.004817,0.539171,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.2547,0.0,0.3188
L1 magnitude,gtsrb,convnext_tiny,0.425,0.002494,0.000172,0.004305,0.520737,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.3113,0.0,0.3913
L1 magnitude,gtsrb,convnext_tiny,0.45,0.002357,0.000172,0.004031,0.499232,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.3491,0.0,0.43
L1 magnitude,gtsrb,convnext_tiny,0.475,0.002186,0.000172,0.003553,0.479263,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.3962,0.0,0.4976
L1 magnitude,gtsrb,convnext_tiny,0.5,0.002084,0.000172,0.003348,0.457757,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.4245,0.0,0.5266
L1 magnitude,gtsrb,convnext_tiny,0.525,0.002016,0.000172,0.003246,0.434716,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.4434,0.0,0.5411
L1 magnitude,gtsrb,convnext_tiny,0.55,0.001913,0.000172,0.003041,0.411674,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.4717,0.0,0.57
L1 magnitude,gtsrb,convnext_tiny,0.575,0.001879,0.000172,0.002972,0.385561,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.4811,0.0,0.5797
L1 magnitude,gtsrb,convnext_tiny,0.6,0.001811,0.000172,0.002836,0.359447,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.5,0.0,0.599
L1 magnitude,gtsrb,convnext_tiny,0.625,0.001742,0.000172,0.002665,0.334869,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.5189,0.0,0.6232
L1 magnitude,gtsrb,convnext_tiny,0.65,0.00164,0.000172,0.00246,0.311828,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.5472,0.0,0.6522
L1 magnitude,gtsrb,convnext_tiny,0.675,0.001537,0.0,0.002084,0.288786,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.5755,1.0,0.7053
L1 magnitude,gtsrb,convnext_tiny,0.7,0.001469,0.0,0.001981,0.265745,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.5943,1.0,0.7198
L1 magnitude,gtsrb,convnext_tiny,0.725,0.001401,0.0,0.001913,0.242704,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6132,1.0,0.7295
L1 magnitude,gtsrb,convnext_tiny,0.75,0.001298,0.0,0.001742,0.221198,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6415,1.0,0.7536
L1 magnitude,gtsrb,convnext_tiny,0.775,0.001264,0.0,0.001674,0.196621,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6509,1.0,0.7633
L1 magnitude,gtsrb,convnext_tiny,0.8,0.00123,0.0,0.00164,0.168971,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6604,1.0,0.7681
L1 magnitude,gtsrb,convnext_tiny,0.825,0.001196,0.0,0.001572,0.142857,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6698,1.0,0.7778
L1 magnitude,gtsrb,convnext_tiny,0.85,0.001093,0.0,0.001367,0.119816,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.6981,1.0,0.8068
L1 magnitude,gtsrb,convnext_tiny,0.875,0.000991,0.0,0.00123,0.096774,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.7264,1.0,0.8261
L1 magnitude,gtsrb,convnext_tiny,0.9,0.000957,0.0,0.001093,0.070661,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.7358,1.0,0.8454
L1 magnitude,gtsrb,convnext_tiny,0.925,0.000922,0.0,0.001059,0.044547,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.7453,1.0,0.8502
L1 magnitude,gtsrb,convnext_tiny,0.95,0.000649,0.0,0.000649,0.029186,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.8208,1.0,0.9082
L1 magnitude,gtsrb,convnext_tiny,0.975,0.000342,0.0,0.000342,0.015361,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,0.9057,1.0,0.9517
L1 magnitude,gtsrb,convnext_tiny,1.0,0.0,0.0,0.0,0.0,0.003621,0.000172,0.007072,0.930876,1948.0,0.3,9757.0,217.0,1.0,1.0,1.0
L1 magnitude,gtsrb,densenet121,0.0,0.003376,0.001014,0.005148,0.819277,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0,0.0,0.0
L1 magnitude,gtsrb,densenet121,0.01,0.003309,0.001014,0.005047,0.807229,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0198,0.0,0.0195
L1 magnitude,gtsrb,densenet121,0.02,0.003209,0.001014,0.004847,0.807229,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0495,0.0,0.0584
L1 magnitude,gtsrb,densenet121,0.03,0.003176,0.001014,0.004813,0.799197,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0594,0.0,0.0649
L1 magnitude,gtsrb,densenet121,0.04,0.003075,0.001014,0.00468,0.799197,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.0891,0.0,0.0909
L1 magnitude,gtsrb,densenet121,0.05,0.003008,0.000846,0.004446,0.795181,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1089,0.1661,0.1364
L1 magnitude,gtsrb,densenet121,0.06,0.002975,0.000846,0.004412,0.783133,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1188,0.1661,0.1429
