method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
Always Patch (ungated),gtsrb/convnext_tiny,101,25,0.6830555555555555,1.0,0.0,0.75,0.645,0.7740884090446118,-8.28465945846688,200,1.0,1.0,1.0,12,0.01588603054217485,0.02192704262799442,0.49606299212598426,17,0.3953488372093023,0.9290322580645162,0.4845720800969144,-8.552065397872248,155
Always Patch (ungated),gtsrb/convnext_tiny,202,23,0.7856766421983813,1.0,0.10000000000000009,0.35,0.642512077294686,0.8770968095603553,-6.3710666806212854,207,1.0,1.0,1.0,13,0.014656144306651634,0.019007702788234083,0.49206349206349204,15,0.3488372093023256,0.9440559440559441,0.43193434597941116,-9.69759445074195,143
Always Patch (ungated),gtsrb/convnext_tiny,303,25,0.6914285714285714,1.0,0.0,1.0,0.6732673267326733,0.7371762055902529,-8.439742200665975,202,1.0,1.0,0.9090909090909091,11,0.020805575484267706,0.033206050827766946,0.6929133858267716,15,0.3488372093023256,0.9458128078817734,0.40128410914927765,-12.356157683080216,203
Always Patch (ungated),gtsrb/densenet121,101,22,0.7613636363636364,1.0,0.028571428571428595,0.33333333333333337,0.5441176470588235,0.9325153374233128,-1.271527612467685,68,0.8571428571428571,0.8571428571428571,0.7142857142857143,7,0.0047131969514641,0.01112540891010924,0.2987012987012987,6,0.13953488372093023,1.0,0.25094102885821834,-8.076996561646718,47
Always Patch (ungated),gtsrb/densenet121,202,23,0.6086956521739131,0.6,0.0,0.8,0.6935483870967742,0.8227465214761039,-2.719616254180149,62,1.0,0.8333333333333334,0.6666666666666666,6,0.00210589651022864,0.00627342679704865,0.2542372881355932,4,0.09302325581395349,1.0,0.26702269692923897,-6.682710235471292,21
Always Patch (ungated),gtsrb/densenet121,303,21,0.7285714285714286,1.0,0.0,0.5,0.5714285714285714,0.8563153255257525,-2.94096585449786,70,1.0,1.0,0.8571428571428571,7,0.0031087043722422786,0.006860531524173012,0.17333333333333334,11,0.2558139534883721,0.9354838709677419,0.5746375865221367,-3.8417449370547114,31
Always Patch (ungated),gtsrb/resnet50,101,20,0.5583333333333333,0.5833333333333333,0.0,1.0,0.59375,0.7732342007434945,-3.0550449897891516,32,1.0,1.0,1.0,2,0.006582227984442007,0.017328271134745995,0.5909090909090909,11,0.2558139534883721,0.9545454545454546,0.3938417472252059,-7.109869000848067,66
Always Patch (ungated),gtsrb/resnet50,202,20,0.5390476190476191,0.6904761904761905,0.0,1.0,0.6,0.7671408023014225,-2.715190192227703,30,1.0,1.0,0.75,4,0.003091652538147003,0.0035029066919653384,0.047619047619047616,6,0.13953488372093023,1.0,0.31405391258832765,-6.269706998589969,31
Always Patch (ungated),gtsrb/resnet50,303,20,0.5166666666666666,0.6666666666666666,0.0,1.0,0.6551724137931034,0.6991895757190529,-3.3838604318020993,29,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.005584920714072006,0.008261173043903162,0.0975609756097561,11,0.2558139534883721,0.9464285714285714,0.4261088514429595,-6.480765427526323,56
Always Patch (ungated),gtsrb/vgg16,101,29,0.5393461650267458,0.6666666666666666,0.0,0.7032967032967032,0.5769230769230769,0.8021146659374716,-4.864742475184701,130,0.9411764705882353,0.7647058823529411,0.5882352941176471,17,0.013876135088256301,0.021024986145966176,0.4,20,0.46511627906976744,0.8088235294117647,0.5772005772005773,-6.858611225693251,136
