method,setting,seed,kind,true_class,n_events,n_pool
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,0,0,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,1,0,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,3,1,4
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,4,1,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,5,10,10
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,6,8,8
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,7,4,4
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,10,12,12
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,11,23,23
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,13,1,2
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,14,0,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,18,15,16
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,21,3,3
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,22,10,10
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,24,1,2
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,25,33,33
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,28,8,9
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,30,17,17
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,31,1,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,35,6,6
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,36,0,1
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,38,0,4
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,40,0,2
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,41,5,5
Always Patch (ungated),gtsrb/convnext_tiny,101,repair,42,41,41
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,0,0,45
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,1,1,572
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,2,2,585
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,3,25,355
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,4,2,542
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,5,1,485
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,6,3,95
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,7,0,356
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,8,25,348
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,9,6,381
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,10,0,507
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,11,0,303
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,12,6,573
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,13,0,578
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,14,0,211
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,15,0,170
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,16,0,117
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,17,0,296
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,18,0,273
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,19,0,44
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,20,0,72
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,21,0,67
Always Patch (ungated),gtsrb/convnext_tiny,101,regression,22,0,87
