method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
NN-Patching [ungated],gtsrb/resnet50,101,20,0.55,0.5833333333333333,0.0,1.0,0.5806451612903226,0.78871530411042,-2.5675467419577176,31,1.0,1.0,1.0,2,0.8252717662311758,0.7727478202543208,1.0,40,0.9302325581395349,0.5531117824773414,0.9302325581395349,0.0,8275
NN-Patching [ungated],gtsrb/resnet50,202,20,0.674047619047619,1.0,0.0,0.625,0.5588235294117647,0.8845643520566121,-1.528227494568195,34,1.0,1.0,0.75,4,0.7451879924204647,0.7533425248930221,1.0,40,0.9302325581395349,0.5896680942184154,0.9302325581395349,0.0,7472
NN-Patching [ungated],gtsrb/resnet50,303,20,0.54,0.9,0.0,1.0,0.6206896551724138,0.6991895757190529,-3.3838604318020993,29,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.7276353844619528,0.7773219494064437,1.0,39,0.9069767441860465,0.5764802631578947,0.9069767441860465,0.0,7296
NN-Patching [ungated],gtsrb/convnext_tiny,101,25,0.7395772946859904,1.0,0.0,0.5,0.6287128712871287,0.813338755591704,-7.577724812097775,202,1.0,1.0,1.0,12,0.6399508045505791,0.5990834301424501,1.0,30,0.6976744186046512,0.6945868033311979,0.6977149834292691,-260.2755480298825,6244
NN-Patching [ungated],gtsrb/convnext_tiny,202,23,0.825202333897986,1.0,0.10000000000000009,0.12380952380952381,0.6394230769230769,0.875848478213269,-7.137300280937422,208,1.0,1.0,1.0,13,0.5266987803628165,0.5256417567479957,1.0,27,0.627906976744186,0.7341895310371668,0.627906976744186,0.0,5139
NN-Patching [ungated],gtsrb/convnext_tiny,303,25,0.6752380952380952,1.0,0.0,1.0,0.6766169154228856,0.7372516895351219,-9.232605403536637,201,1.0,0.9090909090909091,0.9090909090909091,11,0.5548836732602235,0.5644398988138469,1.0,29,0.6744186046511628,0.7301440709272257,0.6746539490519949,-115.05320626009333,5414
NN-Patching [ungated],gtsrb/densenet121,101,22,0.75,1.0,0.0,0.3214285714285714,0.5285714285714286,0.8715651858128556,-2.538604440592576,70,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.7291415964701163,0.7393493834162168,1.0,41,0.9534883720930233,0.6004676110576261,0.9534883720930233,0.0,7271
NN-Patching [ungated],gtsrb/densenet121,202,23,0.6420289855072463,1.0,0.0,1.0,0.6984126984126984,0.7639966575146234,-4.200956997899378,63,1.0,1.0,0.8,5,0.7803850782190133,0.7391412890117057,1.0,41,0.9534883720930233,0.5876381392958109,0.9534883720930233,0.0,7782
NN-Patching [ungated],gtsrb/densenet121,303,21,0.6825396825396824,1.0,0.0,0.5,0.5970149253731343,0.8184143222506394,-3.468576978096824,67,1.0,1.0,0.8333333333333334,6,0.7469915764139591,0.7554950576084815,1.0,41,0.9534883720930233,0.5608806551214928,0.9534883720930233,0.0,7449
NN-Patching [ungated],gtsrb/vgg16,101,29,0.4465829693597389,0.4,0.0,0.8,0.5446428571428571,0.75046904315197,-5.416178699796197,112,0.8823529411764706,0.7058823529411765,0.47058823529411764,17,0.9555147433935313,0.941578700679503,1.0,43,1.0,0.48766684463427656,1.0,0.0,9365
