method,setting,seed,kind,true_class,n_events,n_pool
NN-Patching [ungated],gtsrb/resnet50,101,repair,2,0,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,3,2,3
NN-Patching [ungated],gtsrb/resnet50,101,repair,4,0,3
NN-Patching [ungated],gtsrb/resnet50,101,repair,6,1,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,8,0,2
NN-Patching [ungated],gtsrb/resnet50,101,repair,9,0,2
NN-Patching [ungated],gtsrb/resnet50,101,repair,10,3,3
NN-Patching [ungated],gtsrb/resnet50,101,repair,11,6,6
NN-Patching [ungated],gtsrb/resnet50,101,repair,12,1,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,13,1,2
NN-Patching [ungated],gtsrb/resnet50,101,repair,15,1,2
NN-Patching [ungated],gtsrb/resnet50,101,repair,18,3,3
NN-Patching [ungated],gtsrb/resnet50,101,repair,22,1,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,24,4,4
NN-Patching [ungated],gtsrb/resnet50,101,repair,25,5,6
NN-Patching [ungated],gtsrb/resnet50,101,repair,26,1,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,27,0,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,33,0,1
NN-Patching [ungated],gtsrb/resnet50,101,repair,36,2,4
NN-Patching [ungated],gtsrb/resnet50,101,repair,40,0,1
NN-Patching [ungated],gtsrb/resnet50,101,regression,0,48,48
NN-Patching [ungated],gtsrb/resnet50,101,regression,1,571,571
NN-Patching [ungated],gtsrb/resnet50,101,regression,2,615,615
NN-Patching [ungated],gtsrb/resnet50,101,regression,3,346,358
NN-Patching [ungated],gtsrb/resnet50,101,regression,4,512,519
NN-Patching [ungated],gtsrb/resnet50,101,regression,5,507,507
NN-Patching [ungated],gtsrb/resnet50,101,regression,6,2,117
NN-Patching [ungated],gtsrb/resnet50,101,regression,7,304,348
NN-Patching [ungated],gtsrb/resnet50,101,regression,8,354,354
NN-Patching [ungated],gtsrb/resnet50,101,regression,9,365,365
NN-Patching [ungated],gtsrb/resnet50,101,regression,10,107,514
NN-Patching [ungated],gtsrb/resnet50,101,regression,11,9,309
NN-Patching [ungated],gtsrb/resnet50,101,regression,12,501,546
NN-Patching [ungated],gtsrb/resnet50,101,regression,13,586,588
NN-Patching [ungated],gtsrb/resnet50,101,regression,14,218,218
NN-Patching [ungated],gtsrb/resnet50,101,regression,15,8,161
NN-Patching [ungated],gtsrb/resnet50,101,regression,16,125,125
NN-Patching [ungated],gtsrb/resnet50,101,regression,17,306,306
NN-Patching [ungated],gtsrb/resnet50,101,regression,18,1,310
NN-Patching [ungated],gtsrb/resnet50,101,regression,19,46,46
NN-Patching [ungated],gtsrb/resnet50,101,regression,20,75,75
NN-Patching [ungated],gtsrb/resnet50,101,regression,21,72,72
NN-Patching [ungated],gtsrb/resnet50,101,regression,22,83,97
NN-Patching [ungated],gtsrb/resnet50,101,regression,23,63,124
NN-Patching [ungated],gtsrb/resnet50,101,regression,24,0,63
NN-Patching [ungated],gtsrb/resnet50,101,regression,25,354,362
NN-Patching [ungated],gtsrb/resnet50,101,regression,26,136,145
NN-Patching [ungated],gtsrb/resnet50,101,regression,27,44,44
NN-Patching [ungated],gtsrb/resnet50,101,regression,28,116,116
NN-Patching [ungated],gtsrb/resnet50,101,regression,29,73,73
NN-Patching [ungated],gtsrb/resnet50,101,regression,30,113,113
NN-Patching [ungated],gtsrb/resnet50,101,regression,31,218,218
NN-Patching [ungated],gtsrb/resnet50,101,regression,32,50,50
NN-Patching [ungated],gtsrb/resnet50,101,regression,33,163,163
NN-Patching [ungated],gtsrb/resnet50,101,regression,34,102,102
NN-Patching [ungated],gtsrb/resnet50,101,regression,35,323,323
NN-Patching [ungated],gtsrb/resnet50,101,regression,36,0,96
NN-Patching [ungated],gtsrb/resnet50,101,regression,37,11,49
NN-Patching [ungated],gtsrb/resnet50,101,regression,38,566,566
NN-Patching [ungated],gtsrb/resnet50,101,regression,39,65,65
NN-Patching [ungated],gtsrb/resnet50,101,regression,40,48,71
NN-Patching [ungated],gtsrb/resnet50,101,regression,41,0,46
NN-Patching [ungated],gtsrb/resnet50,101,regression,42,69,69
NN-Patching [ungated],gtsrb/resnet50,202,repair,3,1,2
NN-Patching [ungated],gtsrb/resnet50,202,repair,4,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,6,0,2
NN-Patching [ungated],gtsrb/resnet50,202,repair,7,0,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,8,0,3
NN-Patching [ungated],gtsrb/resnet50,202,repair,9,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,10,3,3
NN-Patching [ungated],gtsrb/resnet50,202,repair,11,5,5
NN-Patching [ungated],gtsrb/resnet50,202,repair,12,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,13,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,15,2,3
NN-Patching [ungated],gtsrb/resnet50,202,repair,18,5,7
NN-Patching [ungated],gtsrb/resnet50,202,repair,22,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,24,6,6
NN-Patching [ungated],gtsrb/resnet50,202,repair,25,3,5
NN-Patching [ungated],gtsrb/resnet50,202,repair,26,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,33,1,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,36,2,2
NN-Patching [ungated],gtsrb/resnet50,202,repair,40,0,1
NN-Patching [ungated],gtsrb/resnet50,202,repair,41,0,1
NN-Patching [ungated],gtsrb/resnet50,202,regression,0,47,47
NN-Patching [ungated],gtsrb/resnet50,202,regression,1,597,597
NN-Patching [ungated],gtsrb/resnet50,202,regression,2,599,599
NN-Patching [ungated],gtsrb/resnet50,202,regression,3,58,371
NN-Patching [ungated],gtsrb/resnet50,202,regression,4,509,528
NN-Patching [ungated],gtsrb/resnet50,202,regression,5,506,507
NN-Patching [ungated],gtsrb/resnet50,202,regression,6,121,121
NN-Patching [ungated],gtsrb/resnet50,202,regression,7,347,347
NN-Patching [ungated],gtsrb/resnet50,202,regression,8,347,347
NN-Patching [ungated],gtsrb/resnet50,202,regression,9,368,386
NN-Patching [ungated],gtsrb/resnet50,202,regression,10,43,514
NN-Patching [ungated],gtsrb/resnet50,202,regression,11,0,322
NN-Patching [ungated],gtsrb/resnet50,202,regression,12,92,557
NN-Patching [ungated],gtsrb/resnet50,202,regression,13,586,591
NN-Patching [ungated],gtsrb/resnet50,202,regression,14,214,214
NN-Patching [ungated],gtsrb/resnet50,202,regression,15,11,161
NN-Patching [ungated],gtsrb/resnet50,202,regression,16,121,121
NN-Patching [ungated],gtsrb/resnet50,202,regression,17,292,292
NN-Patching [ungated],gtsrb/resnet50,202,regression,18,3,296
NN-Patching [ungated],gtsrb/resnet50,202,regression,19,45,45
NN-Patching [ungated],gtsrb/resnet50,202,regression,20,69,69
