setting,side,transition,gain_label,size
gtsrb/convnext_tiny,clean,commit -> commit,harmful (-1),17
gtsrb/convnext_tiny,clean,commit -> veto,harmful (-1),11
gtsrb/convnext_tiny,held,commit -> commit,beneficial (+1),547
gtsrb/convnext_tiny,held,commit -> commit,no-effect (0),10
gtsrb/convnext_tiny,held,commit -> veto,beneficial (+1),2
gtsrb/densenet121,clean,commit -> commit,harmful (-1),3
gtsrb/densenet121,clean,commit -> veto,harmful (-1),15
gtsrb/densenet121,clean,veto -> commit,harmful (-1),1
gtsrb/densenet121,clean,veto -> veto,harmful (-1),82
gtsrb/densenet121,held,commit -> commit,beneficial (+1),201
gtsrb/densenet121,held,commit -> commit,no-effect (0),10
gtsrb/densenet121,held,commit -> veto,beneficial (+1),3
gtsrb/densenet121,held,commit -> veto,no-effect (0),7
gtsrb/resnet50,clean,commit -> commit,harmful (-1),8
gtsrb/resnet50,clean,commit -> veto,harmful (-1),16
gtsrb/resnet50,clean,veto -> commit,harmful (-1),4
gtsrb/resnet50,clean,veto -> veto,harmful (-1),175
gtsrb/resnet50,held,commit -> commit,beneficial (+1),95
gtsrb/resnet50,held,commit -> commit,no-effect (0),7
gtsrb/resnet50,held,commit -> veto,beneficial (+1),5
gtsrb/resnet50,held,commit -> veto,no-effect (0),10
gtsrb/resnet50,held,veto -> commit,beneficial (+1),1
gtsrb/vgg16,clean,commit -> commit,harmful (-1),15
gtsrb/vgg16,clean,commit -> veto,harmful (-1),28
gtsrb/vgg16,clean,veto -> commit,harmful (-1),5
gtsrb/vgg16,clean,veto -> veto,harmful (-1),69
gtsrb/vgg16,held,commit -> commit,beneficial (+1),340
gtsrb/vgg16,held,commit -> commit,no-effect (0),48
gtsrb/vgg16,held,commit -> veto,beneficial (+1),2
gtsrb/vgg16,held,commit -> veto,no-effect (0),2
lisa_signs/convnext_tiny,clean,commit -> commit,harmful (-1),3
lisa_signs/convnext_tiny,clean,commit -> veto,harmful (-1),2
lisa_signs/convnext_tiny,clean,veto -> commit,harmful (-1),1
lisa_signs/convnext_tiny,clean,veto -> veto,harmful (-1),2
lisa_signs/convnext_tiny,held,commit -> commit,beneficial (+1),10
lisa_signs/convnext_tiny,held,commit -> veto,beneficial (+1),1
lisa_signs/convnext_tiny,held,commit -> veto,no-effect (0),1
lisa_signs/convnext_tiny,held,veto -> veto,beneficial (+1),2
lisa_signs/densenet121,clean,commit -> commit,harmful (-1),9
lisa_signs/densenet121,clean,commit -> veto,harmful (-1),7
lisa_signs/densenet121,clean,veto -> commit,harmful (-1),1
lisa_signs/densenet121,clean,veto -> veto,harmful (-1),10
lisa_signs/densenet121,held,commit -> commit,beneficial (+1),18
lisa_signs/densenet121,held,commit -> commit,no-effect (0),8
lisa_signs/densenet121,held,commit -> veto,beneficial (+1),3
lisa_signs/densenet121,held,commit -> veto,no-effect (0),5
lisa_signs/resnet50,clean,commit -> commit,harmful (-1),8
lisa_signs/resnet50,clean,commit -> veto,harmful (-1),14
