method,setting,seed,variant,RR_repair,RR_held,Reg,CReg,n_seen,n_held,n_clean,n_crit
"Weighted Retraining (40ep, matched)",gtsrb/resnet50,101,,0.958333,0.645833,0.004887,0.0,48,48,10027,1967
"Weighted Retraining (40ep, matched)",gtsrb/resnet50,202,,0.9375,0.75,0.002194,0.0,48,48,10027,1976
"Weighted Retraining (40ep, matched)",gtsrb/resnet50,303,,0.958333,0.666667,0.004388,0.0,48,48,10027,1928
"Weighted Retraining (40ep, matched)",gtsrb/convnext_tiny,101,,0.990783,0.940092,0.005432,0.0,217,217,9757,1961
"Weighted Retraining (40ep, matched)",gtsrb/convnext_tiny,202,,0.990783,0.949309,0.005227,0.0,217,217,9757,1938
"Weighted Retraining (40ep, matched)",gtsrb/convnext_tiny,303,,0.990783,0.935484,0.006662,0.0,217,217,9757,1945
"Weighted Retraining (40ep, matched)",gtsrb/densenet121,101,,0.95122,0.855422,0.003309,0.0,82,83,9972,1972
"Weighted Retraining (40ep, matched)",gtsrb/densenet121,202,,0.97561,0.783133,0.00341,0.001525,82,83,9972,1967
"Weighted Retraining (40ep, matched)",gtsrb/densenet121,303,,0.987805,0.891566,0.004011,0.000506,82,83,9972,1978
"Weighted Retraining (40ep, matched)",gtsrb/vgg16,101,,0.968254,0.863158,0.004999,0.00206,189,190,9801,1942
"Weighted Retraining (40ep, matched)",gtsrb/vgg16,202,,0.968254,0.868421,0.009183,0.002612,189,190,9801,1914
"Weighted Retraining (40ep, matched)",gtsrb/vgg16,303,,0.978836,0.889474,0.007244,0.000521,189,190,9801,1918
"Weighted Retraining (40ep, matched)",tt100k_signs/resnet50,101,,0.902724,0.562016,0.029136,0.022888,257,258,7242,4107
"Weighted Retraining (40ep, matched)",tt100k_signs/resnet50,202,,0.891051,0.562016,0.024993,0.014731,257,258,7242,4073
"Weighted Retraining (40ep, matched)",tt100k_signs/resnet50,303,,0.902724,0.465116,0.022784,0.019522,257,258,7242,4098
"Weighted Retraining (40ep, matched)",tt100k_signs/convnext_tiny,101,,0.912844,0.577982,0.02888,0.021597,218,218,7306,4121
"Weighted Retraining (40ep, matched)",tt100k_signs/convnext_tiny,202,,0.912844,0.651376,0.023953,0.014067,218,218,7306,4123
"Weighted Retraining (40ep, matched)",tt100k_signs/convnext_tiny,303,,0.949541,0.651376,0.040241,0.037117,218,218,7306,4149
"Weighted Retraining (40ep, matched)",tt100k_signs/densenet121,101,,0.942308,0.682692,0.02963,0.014191,312,312,7155,4087
"Weighted Retraining (40ep, matched)",tt100k_signs/densenet121,202,,0.929487,0.682692,0.039413,0.025451,312,312,7155,4047
"Weighted Retraining (40ep, matched)",tt100k_signs/densenet121,303,,0.926282,0.663462,0.033543,0.025422,312,312,7155,4091
"Weighted Retraining (40ep, matched)",tt100k_signs/vgg16,101,,0.914634,0.481707,0.028331,0.026456,328,328,7130,4120
"Weighted Retraining (40ep, matched)",tt100k_signs/vgg16,202,,0.893293,0.542683,0.039551,0.031566,328,328,7130,4055
"Weighted Retraining (40ep, matched)",tt100k_signs/vgg16,303,,0.902439,0.496951,0.037728,0.035627,328,328,7130,4070
"Weighted Retraining (40ep, matched)",lisa_signs/resnet50,101,,0.941176,0.794118,0.008574,0.012802,34,34,1866,703
"Weighted Retraining (40ep, matched)",lisa_signs/resnet50,202,,0.941176,0.705882,0.028403,0.009831,34,34,1866,712
"Weighted Retraining (40ep, matched)",lisa_signs/resnet50,303,,0.911765,0.676471,0.005895,0.008439,34,34,1866,711
"Weighted Retraining (40ep, matched)",lisa_signs/convnext_tiny,101,,0.923077,0.571429,0.055819,0.029216,13,14,1899,753
"Weighted Retraining (40ep, matched)",lisa_signs/convnext_tiny,202,,0.846154,0.571429,0.06793,0.051587,13,14,1899,756
"Weighted Retraining (40ep, matched)",lisa_signs/convnext_tiny,303,,0.846154,0.571429,0.037388,0.051771,13,14,1899,734
"Weighted Retraining (40ep, matched)",lisa_signs/densenet121,101,,0.875,0.529412,0.008448,0.014706,16,17,1894,748
"Weighted Retraining (40ep, matched)",lisa_signs/densenet121,202,,0.875,0.529412,0.008976,0.016575,16,17,1894,724
