method,setting,mean_cos_to_ideal
DynaPatch-NoGate,gtsrb/convnext_tiny,0.8007693880088181
DynaPatch-NoGate,gtsrb/densenet121,0.5050014754048422
DynaPatch-NoGate,gtsrb/resnet50,0.3884493562003259
DynaPatch-NoGate,gtsrb/vgg16,0.25535776843297836
DynaPatch-NoGate,lisa_signs/convnext_tiny,0.3544379552865746
DynaPatch-NoGate,lisa_signs/densenet121,0.19959278518982967
DynaPatch-NoGate,lisa_signs/resnet50,0.38409386723134303
DynaPatch-NoGate,lisa_signs/vgg16,0.24104739487162577
DynaPatch-NoGate,tt100k_signs/convnext_tiny,0.20572385259041692
DynaPatch-NoGate,tt100k_signs/densenet121,0.18911497140879488
DynaPatch-NoGate,tt100k_signs/resnet50,0.15088332799233384
DynaPatch-NoGate,tt100k_signs/vgg16,0.04651426849677401
FixedPatch,gtsrb/convnext_tiny,0.3295819831923929
FixedPatch,gtsrb/densenet121,0.21758117446652628
FixedPatch,gtsrb/resnet50,0.10597403409298332
FixedPatch,gtsrb/vgg16,0.10898048603423378
FixedPatch,lisa_signs/convnext_tiny,0.18172248509632472
FixedPatch,lisa_signs/densenet121,0.04284008566155561
FixedPatch,lisa_signs/resnet50,0.18175306858369333
FixedPatch,lisa_signs/vgg16,0.1427187407837787
FixedPatch,tt100k_signs/convnext_tiny,0.11694854469599826
FixedPatch,tt100k_signs/densenet121,0.04199036574421783
FixedPatch,tt100k_signs/resnet50,0.045745710889534184
FixedPatch,tt100k_signs/vgg16,0.023536100311866315
NN-Patching,gtsrb/convnext_tiny,0.5445465660266935
NN-Patching,gtsrb/densenet121,0.17520171971382134
NN-Patching,gtsrb/resnet50,0.11876909734533032
NN-Patching,gtsrb/vgg16,0.08123004274299905
NN-Patching,lisa_signs/convnext_tiny,0.24119516347359027
NN-Patching,lisa_signs/densenet121,0.10175537090527664
NN-Patching,lisa_signs/resnet50,0.1212354527632622
NN-Patching,lisa_signs/vgg16,0.024969083938402758
NN-Patching,tt100k_signs/convnext_tiny,0.27279478546946384
NN-Patching,tt100k_signs/densenet121,0.06811149565076151
NN-Patching,tt100k_signs/resnet50,0.0433210733983703
NN-Patching,tt100k_signs/vgg16,0.02712005099248987
PatchNAS,gtsrb/convnext_tiny,0.3941994411044236
PatchNAS,gtsrb/densenet121,0.3044952654421335
PatchNAS,gtsrb/resnet50,0.18256489051103528
PatchNAS,gtsrb/vgg16,0.11829485302251734
PatchNAS,lisa_signs/convnext_tiny,0.23723539515836256
PatchNAS,lisa_signs/densenet121,0.17455350679016424
PatchNAS,lisa_signs/resnet50,0.16839344351878693
PatchNAS,lisa_signs/vgg16,0.07177508840553305
PatchNAS,tt100k_signs/convnext_tiny,0.11536922177153142
PatchNAS,tt100k_signs/densenet121,0.14860224998579197
PatchNAS,tt100k_signs/resnet50,0.06265331096187184
PatchNAS,tt100k_signs/vgg16,0.039753369436329275
