method,outcome,setting,mean_dz_norm,median_dz_norm,mean_dm,median_dm,mean_cos_to_preserve,median_cos_to_preserve
DynaPatch-NoGate,regressed,gtsrb/convnext_tiny,4.471112701533378,4.474272065466599,-2.5716491919575315,-2.4872082074483237,-0.4003940883114024,-0.3869957527672887
DynaPatch-NoGate,regressed,gtsrb/densenet121,7.632644132056682,7.598282183191002,-1.1276091020262768,-0.9876816819111506,-0.1115682103448387,-0.09090222122484026
DynaPatch-NoGate,regressed,gtsrb/resnet50,8.1549960667974,8.141294976101259,-3.633007178242211,-3.653934250275294,-0.31788232588339177,-0.3407914705780484
DynaPatch-NoGate,regressed,gtsrb/vgg16,12.85336938019085,12.683388157244499,-1.327029803572652,-1.5929020245869954,-0.08088031300974864,-0.09422908759337865
DynaPatch-NoGate,regressed,lisa_signs/convnext_tiny,3.926780609509878,3.9190423786502055,-3.0614822251456126,-2.7001988887786865,-0.5432306569389137,-0.4997531873864129
DynaPatch-NoGate,regressed,lisa_signs/densenet121,5.25702759878991,5.323955634473072,-1.5725261366408734,-1.0601510802904766,-0.21865566146584114,-0.15295293513013042
DynaPatch-NoGate,regressed,lisa_signs/resnet50,6.741523440924958,6.689265713609907,-2.106376315677059,-1.960179979602496,-0.2232903132447591,-0.2121612677502688
DynaPatch-NoGate,regressed,lisa_signs/vgg16,3.835012674007705,4.196013944905323,-1.4200666242175632,-1.5067438284556072,-0.2296651690124343,-0.23719188043434877
DynaPatch-NoGate,regressed,tt100k_signs/convnext_tiny,10.865401290081754,10.545947487265533,-3.9216927958754155,-4.368291298548381,-0.27522759157327065,-0.305011491934119
DynaPatch-NoGate,regressed,tt100k_signs/densenet121,19.173042062290097,19.989255495225947,-4.0288625346042295,-4.405850410461426,-0.16089471698060484,-0.1707534849036246
DynaPatch-NoGate,regressed,tt100k_signs/resnet50,20.62285084926604,20.285574675092615,-3.5026447604055684,-2.757797663410505,-0.13196612862745222,-0.09889999920720725
DynaPatch-NoGate,regressed,tt100k_signs/vgg16,71.17672493308454,73.70272063626263,-4.14954227119252,-3.0087386344869933,-0.04477839744140869,-0.03260471307752652
DynaPatch-NoGate,stayed_correct,gtsrb/convnext_tiny,4.292248504345946,4.208677926624581,0.6070459210413738,0.27579931418100995,0.09689809931845435,0.04714248175823509
DynaPatch-NoGate,stayed_correct,gtsrb/densenet121,7.035897769202382,7.004879613851226,0.43137291363506874,0.17537450790405273,0.038098797010365115,0.018206362961711967
DynaPatch-NoGate,stayed_correct,gtsrb/resnet50,6.931699552113106,6.8138624958548215,0.24764459958515395,-0.14337905248006186,0.02431045144252166,-0.015020598111568861
DynaPatch-NoGate,stayed_correct,gtsrb/vgg16,10.01570736070005,9.561283315750929,0.3374918806290382,0.16967814167340597,0.022239118906696845,0.01251657504724509
DynaPatch-NoGate,stayed_correct,lisa_signs/convnext_tiny,2.9508666431200035,2.8700700675367234,0.13445738775781169,-0.07002468903859456,0.03463860796874472,-0.019690405204324433
DynaPatch-NoGate,stayed_correct,lisa_signs/densenet121,4.982070179668203,4.94019684251929,0.42256580775489755,0.11755025883515675,0.057859216827512085,0.016375950756440525
DynaPatch-NoGate,stayed_correct,lisa_signs/resnet50,6.075696785843704,5.835254548858099,-0.2714136979688193,-0.19622135162353516,-0.01630036290952598,-0.024861381594087174
DynaPatch-NoGate,stayed_correct,lisa_signs/vgg16,3.9064247002349597,3.937121431475164,0.3829249205700192,0.3253935178120931,0.0694514912228227,0.06380102337101955
DynaPatch-NoGate,stayed_correct,tt100k_signs/convnext_tiny,9.732747979736951,8.57088841350471,-0.6432592281135462,-0.47094472249348956,-0.05880758149993443,-0.035424536207868305
DynaPatch-NoGate,stayed_correct,tt100k_signs/densenet121,14.431369262407278,12.279415525578274,-0.5249975976544192,-0.39938631405433017,-0.0353669306271201,-0.021105229155092345
DynaPatch-NoGate,stayed_correct,tt100k_signs/resnet50,17.73589817283474,15.92817590295766,-0.727187517521546,-0.5259658892949423,-0.03400443613800703,-0.021983354253765477
DynaPatch-NoGate,stayed_correct,tt100k_signs/vgg16,57.22766153233348,56.22645366509781,-0.5325259518973261,-0.38407235344250995,-0.011035412011425452,-0.004746459411571594
FixedPatch,regressed,gtsrb/convnext_tiny,16.840964254730952,17.111418618869767,-1.8997564654280616,-3.0523623997966447,-0.0792247769220361,-0.13027923078616624
FixedPatch,regressed,gtsrb/densenet121,12.148485537338928,12.148485561212878,-0.9324473807368056,-1.2099498763370018,-0.05474556568339345,-0.07109335185497291
FixedPatch,regressed,gtsrb/resnet50,18.467665826896546,18.467665801317338,-3.876787035271114,-3.867887814839681,-0.14871055624802207,-0.14905485792234774
FixedPatch,regressed,gtsrb/vgg16,49.705768657272934,42.879489472772775,-6.325467894753737,-5.696128209431966,-0.12930586160616633,-0.11431428110190352
FixedPatch,regressed,lisa_signs/convnext_tiny,13.912757856839805,14.048852622784006,-3.905427033838573,-4.459163685639699,-0.19743532686636142,-0.20671328548643966
FixedPatch,regressed,lisa_signs/densenet121,8.101807306970025,8.10180729968387,-1.399066509270952,-1.5158439079920452,-0.1220660361711533,-0.13218282285871116
FixedPatch,regressed,lisa_signs/resnet50,14.870432876906188,14.870432934232184,-1.6134204056509065,-1.7659511771053076,-0.0774987490887105,-0.08416554716307095
FixedPatch,regressed,lisa_signs/vgg16,19.56515161504489,16.99238668622816,-3.823809859190383,-3.5733024577299752,-0.1361963679557856,-0.1416179286105523
FixedPatch,regressed,tt100k_signs/convnext_tiny,28.73425713728652,29.10136189565702,-3.1210619762685607,-2.4584776759147644,-0.07587340223550627,-0.06177741229215906
FixedPatch,regressed,tt100k_signs/densenet121,42.1444375861542,42.14443764828514,-2.648963698184165,-3.2037360618511834,-0.04445898027478418,-0.05378660835989523
FixedPatch,regressed,tt100k_signs/resnet50,39.59249398051528,39.59249400479515,-4.388196670917348,-5.227767029466729,-0.0782791983800723,-0.0937830882169744
FixedPatch,regressed,tt100k_signs/vgg16,186.44361247435083,181.7581272187152,-5.2943671239296215,-4.034481565157573,-0.01949869932557649,-0.017734601529124077
FixedPatch,stayed_correct,gtsrb/convnext_tiny,11.665215116861132,11.661531613229934,-0.720859479684997,-1.192003736893336,-0.049326180573806035,-0.07538799220971414
FixedPatch,stayed_correct,gtsrb/densenet121,12.148485653467944,12.148485632821078,0.7923079242713186,0.6819471518198649,0.04625742073708442,0.039609755458740764
FixedPatch,stayed_correct,gtsrb/resnet50,18.46766584335829,18.46766585292455,0.3539052699027811,0.05072536071141561,0.013577746409884245,0.001703528911224794
FixedPatch,stayed_correct,gtsrb/vgg16,99.57759048581973,77.59798566741036,-8.252401280035416,-6.941634446382523,-0.046764297037689556,-0.05667482243794231
FixedPatch,stayed_correct,lisa_signs/convnext_tiny,11.160929753697014,11.37147428811969,-1.9169517495813055,-1.6808034976323445,-0.11612037717068897,-0.11120263685124708
FixedPatch,stayed_correct,lisa_signs/densenet121,8.101807301649645,8.101807300341635,0.3937943258049013,0.22956299781799316,0.03443686222994625,0.020077303293251452
FixedPatch,stayed_correct,lisa_signs/resnet50,14.870432707256233,14.870432712177774,-0.012797966085578002,-0.0149453766644001,-0.00043197183448848847,-0.0015607373588092286
FixedPatch,stayed_correct,lisa_signs/vgg16,20.907354360554237,17.012694744370346,-0.5960582917977283,-0.13217767079671225,0.013958734950098141,-0.004903684985921742
FixedPatch,stayed_correct,tt100k_signs/convnext_tiny,22.962036105589963,23.283038584891937,-2.0902994987637284,-1.7607639531294506,-0.062492730414713156,-0.05400304914161506
FixedPatch,stayed_correct,tt100k_signs/densenet121,42.14443731353531,42.14443729566954,0.25721663625782176,0.13238718609015146,0.004317935243917127,0.002244906684429286
FixedPatch,stayed_correct,tt100k_signs/resnet50,39.592493865732074,39.59249390199604,0.06290686313544593,0.1888574163118998,0.00111390954395588,0.003393782520926448
FixedPatch,stayed_correct,tt100k_signs/vgg16,312.9526360920066,262.50370265686826,-8.42323058525328,-7.187670737504959,-0.01784705995987046,-0.018992426630023387
NN-Patching,regressed,gtsrb/convnext_tiny,21.46691462630402,21.164671435786257,-9.238909071492907,-9.341034352779388,-0.3059664200693505,-0.31129184003284954
NN-Patching,regressed,gtsrb/densenet121,74.1481393660866,70.19576714949737,-14.24300751466165,-13.064064492781958,-0.13737240360370181,-0.1374694305907442
NN-Patching,regressed,gtsrb/resnet50,91.46745654368743,87.97751371784359,-14.013559250802968,-13.516107817490896,-0.11065581336881818,-0.10923865613949048
NN-Patching,regressed,gtsrb/vgg16,499568.3511006375,361519.0173518662,19648.40050251478,1983.7964973946412,0.007811419048227244,0.014749509891764745
NN-Patching,regressed,lisa_signs/convnext_tiny,17.16274871836428,16.76438244277359,-10.286160276738862,-10.625621244311333,-0.4282689592326987,-0.4493042794600835
NN-Patching,regressed,lisa_signs/densenet121,42.3777404607998,41.88622395374548,-9.089822943928546,-9.05045043428739,-0.15489490369966283,-0.15380157372509864
NN-Patching,regressed,lisa_signs/resnet50,115.31472053746906,108.4228326468553,-11.216247117354925,-10.837319657206535,-0.07554623109805331,-0.07082057818360822
NN-Patching,regressed,lisa_signs/vgg16,1105069.55670086,933309.8264443848,66074.30754439479,10705.661908666292,0.015229767112389485,0.013178952571114727
NN-Patching,regressed,tt100k_signs/convnext_tiny,28.16427644076153,27.003723005487533,-9.497180695158983,-8.712248955542842,-0.24709072156575973,-0.21473971973657516
