method,variant,setting,label,dataset,backbone,seed,metric,value,note,source
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,RR_seen,1.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,RR_held,0.6875,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,Reg,0.008377,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,CReg,0.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,RR_seen,1.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,RR_held,0.75,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,Reg,0.004588,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,CReg,0.000506,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,RR_seen,1.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,RR_held,0.666667,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,Reg,0.00728,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,CReg,0.000519,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,RR_seen,0.736842,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,RR_held,0.541667,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,Reg,0.011868,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,101,CReg,0.0,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,RR_seen,0.684211,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,RR_held,0.4375,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,Reg,0.010073,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,202,CReg,0.0,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,RR_seen,0.789474,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,RR_held,0.583333,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,Reg,0.014261,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/resnet50,G-RN,gtsrb,resnet50,303,CReg,0.0,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,RR_seen,0.965517,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,RR_held,0.824885,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,Reg,0.000717,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,101,CReg,0.0,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,RR_seen,0.95977,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,RR_held,0.870968,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,Reg,0.00082,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,202,CReg,0.000516,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_seen,0.954023,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,RR_held,0.834101,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,gtsrb/convnext_tiny,G-CN,gtsrb,convnext_tiny,303,Reg,0.001332,,outputs/patch_ablation
