setting,evidence,mean n test,prevalence,train pos,train neg,accuracy,precision,recall,f1
gtsrb/resnet50,pre,107.0,0.3245,45.0,20.0,0.8673,0.7101,0.9899,0.8261
gtsrb/resnet50,pre+post,107.0,0.3245,45.0,20.0,0.9243,0.8344,0.9505,0.8884
gtsrb/convnext_tiny,pre,195.7,0.9354,205.3,3.0,0.9354,0.9354,1.0,0.9665
gtsrb/convnext_tiny,pre+post,195.7,0.9354,205.3,3.0,0.9509,0.9539,0.9963,0.9743
gtsrb/vgg16,pre,169.7,0.6758,149.7,10.0,0.8171,0.7865,1.0,0.8804
gtsrb/vgg16,pre+post,169.7,0.6758,149.7,10.0,0.8638,0.8346,0.9941,0.9071
gtsrb/densenet121,pre,107.3,0.6403,79.0,11.7,0.8911,0.8542,1.0,0.9213
gtsrb/densenet121,pre+post,107.3,0.6403,79.0,11.7,0.9468,0.9347,0.9856,0.9594
tt100k_signs/resnet50,pre,232.7,0.4288,182.0,29.0,0.7694,0.652,0.9926,0.787
tt100k_signs/resnet50,pre+post,232.7,0.4288,182.0,29.0,0.8033,0.692,0.9762,0.8097
tt100k_signs/convnext_tiny,pre,154.7,0.4464,135.0,20.0,0.8254,0.7179,1.0,0.8356
tt100k_signs/convnext_tiny,pre+post,154.7,0.4464,135.0,20.0,0.8602,0.7782,0.9653,0.8607
tt100k_signs/vgg16,pre,305.7,0.3254,185.0,32.0,0.6855,0.5084,0.9965,0.6728
tt100k_signs/vgg16,pre+post,305.7,0.3254,185.0,32.0,0.7008,0.5212,0.9898,0.6824
tt100k_signs/densenet121,pre,284.0,0.5734,234.3,25.7,0.8625,0.8067,1.0,0.893
tt100k_signs/densenet121,pre+post,284.0,0.5734,234.3,25.7,0.8755,0.8215,1.0,0.902
lisa_signs/resnet50,pre,34.0,0.5344,29.0,2.3,0.6365,0.5943,1.0,0.7453
lisa_signs/resnet50,pre+post,34.0,0.5344,29.0,2.3,0.727,0.7003,0.9206,0.785
lisa_signs/convnext_tiny,pre,11.0,0.6026,9.0,1.5,0.6581,0.6528,0.8571,0.7411
lisa_signs/convnext_tiny,pre+post,11.0,0.6026,9.0,1.5,0.6966,0.7292,0.7738,0.75
lisa_signs/vgg16,pre,19.0,0.5789,25.0,2.0,0.6842,0.6471,1.0,0.7857
lisa_signs/vgg16,pre+post,19.0,0.5789,25.0,2.0,0.6842,0.6471,1.0,0.7857
lisa_signs/densenet121,pre,20.3,0.3611,13.7,2.0,0.5317,0.4309,1.0,0.5958
lisa_signs/densenet121,pre+post,20.3,0.3611,13.7,2.0,0.6498,0.5572,0.8472,0.6473
