setting,evidence,theta,realised r (informational),rr_held,reg,creg,n held,n clean,n critical
gtsrb/resnet50,pre,0.0000,0.8714,0.6944,0.0008,0.0,48,10027,1957.0
gtsrb/resnet50,pre+post,0.0000,0.9357,0.6667,0.0004,0.0,48,10027,1957.0
gtsrb/convnext_tiny,pre,0.0000,0.0000,0.8433,0.001,0.0002,217,9757,1961.0
gtsrb/convnext_tiny,pre+post,0.0000,0.5000,0.8402,0.0006,0.0002,217,9757,1961.0
gtsrb/vgg16,pre,0.0000,0.6067,0.6,0.0015,0.0009,190,9801,1942.0
gtsrb/vgg16,pre+post,0.0000,0.8224,0.5965,0.0007,0.0003,190,9801,1942.0
gtsrb/densenet121,pre,0.0000,0.8338,0.8193,0.0006,0.0005,83,9972,1972.3
gtsrb/densenet121,pre+post,0.0000,0.9683,0.8072,0.0001,0.0,83,9972,1972.3
tt100k_signs/resnet50,pre,0.0000,0.9223,0.3837,0.0009,0.0007,258,7242,4092.7
tt100k_signs/resnet50,pre+post,0.0000,0.9762,0.3773,0.0003,0.0001,258,7242,4092.7
tt100k_signs/convnext_tiny,pre,0.0000,0.8668,0.318,0.0012,0.0019,218,7306,4121.0
tt100k_signs/convnext_tiny,pre+post,0.0000,0.9336,0.3089,0.0006,0.0008,218,7306,4121.0
tt100k_signs/vgg16,pre,0.0000,0.9159,0.3018,0.0014,0.0014,328,7130,4120.0
tt100k_signs/vgg16,pre+post,0.0000,0.9318,0.2998,0.0012,0.0009,328,7130,4120.0
tt100k_signs/densenet121,pre,0.0000,0.8856,0.5214,0.0014,0.0012,312,7155,4075.0
tt100k_signs/densenet121,pre+post,0.0000,0.9181,0.5214,0.0011,0.001,312,7155,4075.0
lisa_signs/resnet50,pre,0.0000,0.3174,0.5392,0.0039,0.0052,34,1866,708.7
lisa_signs/resnet50,pre+post,0.0000,0.6020,0.4902,0.0023,0.0033,34,1866,708.7
lisa_signs/convnext_tiny,pre,0.0000,0.4167,0.3929,0.0013,0.002,14,1899,753.0
lisa_signs/convnext_tiny,pre+post,0.0000,0.5000,0.3571,0.0011,0.0014,14,1899,753.0
lisa_signs/vgg16,pre,0.0000,0.6667,0.3056,0.0005,0.0,36,1864,731.0
lisa_signs/vgg16,pre+post,0.0000,0.6667,0.3056,0.0005,0.0014,36,1864,731.0
lisa_signs/densenet121,pre,0.0000,0.4128,0.4118,0.0028,0.005,17,1894,735.7
lisa_signs/densenet121,pre+post,0.0000,0.5667,0.3529,0.0018,0.0031,17,1894,735.7
