setting,evidence,accuracy,precision,recall,f1
gtsrb/convnext_tiny,pre,0.9353994854656055,0.9353994854656055,1.0,0.9665218222969664
gtsrb/densenet121,pre,0.8911147359095161,0.8542196608373079,1.0,0.9213223795949211
gtsrb/resnet50,pre,0.867306553911205,0.7101113172541744,0.98989898989899,0.8261450483672705
gtsrb/vgg16,pre,0.8171424510623736,0.7865141918967479,1.0,0.8803869257783936
lisa_signs/convnext_tiny,pre,0.6581196581196581,0.6527777777777778,0.8571428571428572,0.7410714285714286
lisa_signs/densenet121,pre,0.5317460317460317,0.43093026684357955,1.0,0.5958244653896828
lisa_signs/resnet50,pre,0.6365147198480532,0.5942881500426257,1.0,0.7452861952861953
lisa_signs/vgg16,pre,0.6842105263157895,0.6470588235294118,1.0,0.7857142857142858
tt100k_signs/convnext_tiny,pre,0.8254334083941507,0.7178560930352189,1.0,0.8356296956115542
tt100k_signs/densenet121,pre,0.8624606437299139,0.8066901836017278,1.0,0.8929991783196697
tt100k_signs/resnet50,pre,0.769439814762729,0.6519837471383519,0.9925925925925926,0.7869973796417513
tt100k_signs/vgg16,pre,0.6855010489687055,0.5083599499466582,0.9964539007092199,0.6727857638232142
gtsrb/convnext_tiny,pre+post,0.9439587624459351,0.9521021992706257,0.9906890130353817,0.9705988316379183
gtsrb/densenet121,pre+post,0.8305195145714136,0.8208773555761507,0.9467546523099952,0.8783870006871317
gtsrb/resnet50,pre+post,0.8285186751233263,0.6816008316008316,0.8594276094276094,0.7557230672589402
gtsrb/vgg16,pre+post,0.7235913442565041,0.711453823953824,0.9942528735632185,0.8285554067817946
lisa_signs/convnext_tiny,pre+post,0.4700854700854701,0.5972222222222222,0.5357142857142857,0.55
lisa_signs/densenet121,pre+post,0.6537698412698413,0.5222222222222223,0.7579365079365079,0.6075884899414312
lisa_signs/resnet50,pre+post,0.6103988603988605,0.6083908045977012,0.8412698412698413,0.692785622593068
lisa_signs/vgg16,pre+post,0.5263157894736842,0.5625,0.8181818181818182,0.6666666666666666
tt100k_signs/convnext_tiny,pre+post,0.6024833374028957,0.5322051032821946,0.8417976760082023,0.6518064456208786
tt100k_signs/densenet121,pre+post,0.6775718200949444,0.6634572274834335,0.891250708297841,0.7601111009192287
tt100k_signs/resnet50,pre+post,0.6305988656252963,0.5529855894040591,0.7901291199456337,0.648292371762499
tt100k_signs/vgg16,pre+post,0.33613593899914157,0.3280469266854451,0.9929078014184398,0.49280840485905913
