setting,evidence,rr_held,reg,creg
gtsrb/convnext_tiny,pre,0.8433179723502304,0.0009565781831846667,0.000171998624011
gtsrb/densenet121,pre,0.8192771084337349,0.0006016847172081334,0.0005070163243756
gtsrb/resnet50,pre,0.6944444444444443,0.000797845816296,0.0
gtsrb/vgg16,pre,0.6,0.0014624358058700998,0.0008628805498665333
lisa_signs/convnext_tiny,pre,0.3928571428571428,0.00131648235913635,0.0020264084443334
lisa_signs/densenet121,pre,0.41176470588235287,0.0028159098908834665,0.0049630332628614335
lisa_signs/resnet50,pre,0.5392156862745098,0.0039299749910682,0.0051810975277727
lisa_signs/vgg16,pre,0.3055555555555556,0.0005364806866952,0.0
tt100k_signs/convnext_tiny,pre,0.3180428134556575,0.0012318642211880334,0.0018578532549067002
tt100k_signs/densenet121,pre,0.5213675213675214,0.0014442115071045334,0.0012261372581408333
tt100k_signs/resnet50,pre,0.3837209302325581,0.0009205560158335001,0.0007330274771258333
tt100k_signs/vgg16,pre,0.30182926829268286,0.0014492753623188,0.0013898404582325333
gtsrb/convnext_tiny,pre+post,0.8356374807987711,0.0006149431177615666,0.000171998624011
gtsrb/densenet121,pre+post,0.7751004016064257,0.0012702232918838999,0.00033892560582949997
gtsrb/resnet50,pre+post,0.6041666666666666,0.001230012300123,0.0
gtsrb/vgg16,pre+post,0.5964912280701754,0.0034350236370438,0.0008628805498665333
lisa_signs/convnext_tiny,pre+post,0.24999999999999994,0.0015797788309636,0.0020435967302452
lisa_signs/densenet121,pre+post,0.31372549019607837,0.0021119324181626,0.004063885725058467
lisa_signs/resnet50,pre+post,0.4411764705882352,0.0037513397642014667,0.005171085756874967
lisa_signs/vgg16,pre+post,0.25,0.0016094420600858,0.0027359781121751
tt100k_signs/convnext_tiny,pre+post,0.26911314984709483,0.0050187060863217,0.0019370236820097
tt100k_signs/densenet121,pre+post,0.4647435897435897,0.0071278825995806675,0.0021228123632465
tt100k_signs/resnet50,pre+post,0.3049095607235142,0.0051551136886679,0.0013848927109273
tt100k_signs/vgg16,pre+post,0.30081300813008127,0.016503038803178997,0.012649418773944368
