setting,seed,lambda,RR_held,Reg,CReg,method
gtsrb/convnext_tiny,101,0.5,0.8064516129032258,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,1.0,0.8018433179723502,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,2.0,0.7926267281105991,0.0,0.0,DynaPatch
gtsrb/convnext_tiny,101,4.0,0.783410138248848,0.0,0.0,DynaPatch
gtsrb/densenet121,101,0.5,0.7590361445783133,0.002607300441235459,0.0,DynaPatch
gtsrb/densenet121,101,1.0,0.7349397590361446,0.0020056157240272766,0.0,DynaPatch
gtsrb/densenet121,101,2.0,0.7349397590361446,0.001103088648215002,0.0,DynaPatch
gtsrb/densenet121,101,4.0,0.6746987951807228,0.00040112314480545525,0.0,DynaPatch
gtsrb/resnet50,101,0.5,0.6458333333333334,0.002194075994814002,0.0,DynaPatch
gtsrb/resnet50,101,1.0,0.6458333333333334,0.0016954223596290017,0.0,DynaPatch
gtsrb/resnet50,101,2.0,0.6458333333333334,0.000997307270370001,0.0,DynaPatch
gtsrb/resnet50,101,4.0,0.6041666666666666,0.0003989229081480004,0.0,DynaPatch
gtsrb/vgg16,101,0.5,0.6105263157894737,0.003060912151821243,0.001544799176107106,DynaPatch
gtsrb/vgg16,101,1.0,0.6052631578947368,0.0027548209366391185,0.001544799176107106,DynaPatch
gtsrb/vgg16,101,2.0,0.6,0.0019385776961534538,0.0010298661174047373,DynaPatch
gtsrb/vgg16,101,4.0,0.5684210526315789,0.0017345168860320376,0.0010298661174047373,DynaPatch
lisa_signs/convnext_tiny,101,0.5,0.35714285714285715,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,1.0,0.21428571428571427,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,2.0,0.07142857142857142,0.000526592943654555,0.0,DynaPatch
lisa_signs/convnext_tiny,101,4.0,0.07142857142857142,0.000526592943654555,0.0,DynaPatch
lisa_signs/densenet121,101,0.5,0.4117647058823529,0.004751847940865892,0.008021390374331552,DynaPatch
lisa_signs/densenet121,101,1.0,0.35294117647058826,0.0031678986272439284,0.0053475935828877,DynaPatch
lisa_signs/densenet121,101,2.0,0.35294117647058826,0.0021119324181626186,0.00267379679144385,DynaPatch
lisa_signs/densenet121,101,4.0,0.35294117647058826,0.0021119324181626186,0.00267379679144385,DynaPatch
lisa_signs/resnet50,101,0.5,0.5882352941176471,0.0053590568060021436,0.007112375533428165,DynaPatch
lisa_signs/resnet50,101,1.0,0.5588235294117647,0.004287245444801715,0.004267425320056899,DynaPatch
lisa_signs/resnet50,101,2.0,0.5294117647058824,0.004287245444801715,0.004267425320056899,DynaPatch
lisa_signs/resnet50,101,4.0,0.5294117647058824,0.0037513397642015005,0.004267425320056899,DynaPatch
tt100k_signs/convnext_tiny,101,0.5,0.21559633027522937,0.00670681631535724,0.0026692550351856345,DynaPatch
tt100k_signs/convnext_tiny,101,1.0,0.2018348623853211,0.005338078291814947,0.001455957291919437,DynaPatch
tt100k_signs/convnext_tiny,101,2.0,0.1743119266055046,0.0045168354776895705,0.001455957291919437,DynaPatch
tt100k_signs/convnext_tiny,101,4.0,0.1559633027522936,0.004106214070626882,0.001455957291919437,DynaPatch
tt100k_signs/densenet121,101,0.5,0.5,0.009783368273934312,0.0026914607291411794,DynaPatch
tt100k_signs/densenet121,101,1.0,0.47435897435897434,0.008106219426974143,0.002446782481037436,DynaPatch
tt100k_signs/densenet121,101,2.0,0.4423076923076923,0.007127882599580713,0.002446782481037436,DynaPatch
tt100k_signs/densenet121,101,4.0,0.4198717948717949,0.005031446540880503,0.0019574259848299485,DynaPatch
tt100k_signs/resnet50,101,0.5,0.39147286821705424,0.009113504556752278,0.0017044071098125152,DynaPatch
tt100k_signs/resnet50,101,1.0,0.3372093023255814,0.007180336923501795,0.0012174336498660824,DynaPatch
tt100k_signs/resnet50,101,2.0,0.313953488372093,0.005385252692626346,0.0009739469198928658,DynaPatch
tt100k_signs/resnet50,101,4.0,0.29457364341085274,0.0030378348522507597,0.0007304601899196494,DynaPatch
tt100k_signs/vgg16,101,0.5,0.2865853658536585,0.015988779803646564,0.014563106796116505,DynaPatch
tt100k_signs/vgg16,101,1.0,0.2804878048780488,0.015427769985974754,0.014563106796116505,DynaPatch
tt100k_signs/vgg16,101,2.0,0.25609756097560976,0.012342215988779803,0.012864077669902912,DynaPatch
tt100k_signs/vgg16,101,4.0,0.19817073170731708,0.006732117812061711,0.006796116504854369,DynaPatch
gtsrb/convnext_tiny,202,0.5,0.8709677419354839,0.0007174336373885415,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,1.0,0.8709677419354839,0.0005124525981346726,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,2.0,0.8709677419354839,0.00040996207850773806,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,4.0,0.8663594470046083,0.00040996207850773806,0.0005159958720330237,DynaPatch
gtsrb/densenet121,202,0.5,0.7710843373493976,0.0015042117930204573,0.0010167768174885613,DynaPatch
gtsrb/densenet121,202,1.0,0.7590361445783133,0.0013036502206177295,0.0010167768174885613,DynaPatch
gtsrb/densenet121,202,2.0,0.7228915662650602,0.0009025270758122744,0.0010167768174885613,DynaPatch
gtsrb/densenet121,202,4.0,0.7228915662650602,0.00040112314480545525,0.0005083884087442806,DynaPatch
gtsrb/resnet50,202,0.5,0.6875,0.0008975765433330009,0.0,DynaPatch
gtsrb/resnet50,202,1.0,0.6666666666666666,0.0006981150892590007,0.0,DynaPatch
gtsrb/resnet50,202,2.0,0.6458333333333334,0.0004986536351850005,0.0,DynaPatch
gtsrb/resnet50,202,4.0,0.625,0.0003989229081480004,0.0,DynaPatch
gtsrb/vgg16,202,0.5,0.6105263157894737,0.004897459442913988,0.0005224660397074191,DynaPatch
gtsrb/vgg16,202,1.0,0.6052631578947368,0.0042852770125497396,0.0005224660397074191,DynaPatch
gtsrb/vgg16,202,2.0,0.5947368421052631,0.0038771553923069076,0.0005224660397074191,DynaPatch
gtsrb/vgg16,202,4.0,0.5631578947368421,0.002550760126517702,0.0005224660397074191,DynaPatch
lisa_signs/densenet121,202,0.5,0.35294117647058826,0.0015839493136219642,0.004143646408839779,DynaPatch
lisa_signs/densenet121,202,1.0,0.35294117647058826,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/densenet121,202,2.0,0.23529411764705882,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/densenet121,202,4.0,0.23529411764705882,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/resnet50,202,0.5,0.4117647058823529,0.0026795284030010718,0.004213483146067416,DynaPatch
lisa_signs/resnet50,202,1.0,0.38235294117647056,0.0026795284030010718,0.004213483146067416,DynaPatch
lisa_signs/resnet50,202,2.0,0.3235294117647059,0.001607717041800643,0.0014044943820224719,DynaPatch
lisa_signs/resnet50,202,4.0,0.3235294117647059,0.001607717041800643,0.0014044943820224719,DynaPatch
