setting,seed,n_train_pos,n_train_neg,theta,Reg,CReg,RR_held,realised_r,n_held,n_clean,n_crit,n,prevalence,accuracy,precision,recall,f1,TP,FP,FN,TN
gtsrb/convnext_tiny,101,208,5,0.0,0.0,0.0,0.8018433179723502,1.0,217,9757,1961,190,0.9421052631578948,0.9526315789473684,0.9775280898876404,0.9720670391061452,0.9747899159663864,174,4,5,7
gtsrb/densenet121,101,76,10,0.0,0.0020056157240272766,0.0,0.7349397590361446,0.5238095238095237,83,9972,1972,115,0.6,0.7391304347826086,0.7349397590361446,0.8840579710144928,0.8026315789473685,61,22,8,24
gtsrb/resnet50,101,45,23,0.0,0.0016954223596290017,0.0,0.6458333333333334,0.7976190476190476,48,10027,1967,125,0.264,0.816,0.5961538461538461,0.9393939393939394,0.7294117647058823,31,21,2,71
gtsrb/vgg16,101,149,12,0.0,0.0027548209366391185,0.001544799176107106,0.6052631578947368,0.22857142857142856,190,9801,1942,163,0.7116564417177914,0.7791411042944786,0.7666666666666667,0.9913793103448276,0.8646616541353382,115,35,1,12
lisa_signs/convnext_tiny,101,9,2,0.0,0.000526592943654555,0.0,0.21428571428571427,0.5,14,1899,753,9,0.6666666666666666,0.5555555555555556,0.75,0.5,0.6,3,1,3,2
lisa_signs/densenet121,101,13,2,0.0,0.0031678986272439284,0.0053475935828877,0.35294117647058826,0.39999999999999997,17,1894,748,21,0.3333333333333333,0.5238095238095238,0.4,0.8571428571428571,0.5454545454545455,6,9,1,5
lisa_signs/resnet50,101,29,2,0.0,0.004287245444801715,0.004267425320056899,0.5588235294117647,0.38461538461538464,34,1866,703,39,0.5384615384615384,0.6923076923076923,0.6551724137931034,0.9047619047619048,0.7599999999999999,19,10,2,8
tt100k_signs/convnext_tiny,101,130,21,0.0,0.005338078291814947,0.001455957291919437,0.2018348623853211,0.5,218,7306,4121,145,0.3793103448275862,0.5862068965517241,0.4731182795698925,0.8,0.5945945945945946,44,49,11,41
tt100k_signs/densenet121,101,231,18,0.0,0.008106219426974143,0.002446782481037436,0.47435897435897434,0.36263736263736274,312,7155,4087,280,0.5857142857142857,0.6464285714285715,0.6406926406926406,0.9024390243902439,0.7493670886075949,148,83,16,33
tt100k_signs/resnet50,101,180,30,0.0,0.007180336923501795,0.0012174336498660824,0.3372093023255814,0.4901960784313726,258,7242,4107,260,0.41923076923076924,0.5846153846153846,0.5028901734104047,0.7981651376146789,0.6170212765957447,87,86,22,65
tt100k_signs/vgg16,101,193,34,0.0,0.015427769985974754,0.014563106796116505,0.2804878048780488,0.035087719298245654,328,7130,4120,287,0.32752613240418116,0.3344947735191638,0.3274021352313167,0.9787234042553191,0.4906666666666667,92,189,2,4
gtsrb/convnext_tiny,202,203,3,0.0,0.0005124525981346726,0.0005159958720330237,0.8709677419354839,0.375,217,9757,1938,198,0.9545454545454546,0.9696969696969697,0.9692307692307692,1.0,0.9843749999999999,189,6,0,3
gtsrb/densenet121,202,80,7,0.0,0.0013036502206177295,0.0010167768174885613,0.7590361445783133,0.23529411764705888,83,9972,1967,89,0.7191011235955056,0.8202247191011236,0.8076923076923077,0.984375,0.8873239436619719,63,15,1,10
